EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
3990963315	19262	labeled	2020-11-12T22:35:17Z	rwjblue	[Bug]_v3.20.6_introduces_breaking_change_for_@dependentKeyCompat
3990958939	19254	head_ref_deleted	2020-11-12T22:33:44Z	rwjblue	[RFC_673]_Deprecate_tryInvoke
3990958896	19254	closed	2020-11-12T22:33:43Z	rwjblue	[RFC_673]_Deprecate_tryInvoke
3990958887	19254	merged	2020-11-12T22:33:43Z	rwjblue	[RFC_673]_Deprecate_tryInvoke
3990958883	19254	referenced	2020-11-12T22:33:42Z	rwjblue	[RFC_673]_Deprecate_tryInvoke
3990937497	19266	head_ref_force_pushed	2020-11-12T22:27:20Z	rwjblue	Failing_test_case_for_lazily_loaded_engines_with_loading_states
3990871279	19261	head_ref_force_pushed	2020-11-12T22:05:24Z	pzuraq	[FEATURE]_Upstreams_the_DebugRenderTree_to_Glimmer_VM
3990856459	19266	labeled	2020-11-12T22:00:38Z	rwjblue	Failing_test_case_for_lazily_loaded_engines_with_loading_states
3990683860	19254	review_requested	2020-11-12T21:08:33Z	locks	[RFC_673]_Deprecate_tryInvoke
3990563403	19265	labeled	2020-11-12T20:33:32Z	locks	[Bug]_Running_test_suite_opens_additional_browser_tabs
3990392141	19255	head_ref_force_pushed	2020-11-12T19:47:25Z	locks	[RFC_674]_Deprecate_transition_methods_of_controller_and_route
3990049516	19254	subscribed	2020-11-12T18:18:49Z	rwjblue	[RFC_673]_Deprecate_tryInvoke
3990049510	19254	mentioned	2020-11-12T18:18:49Z	rwjblue	[RFC_673]_Deprecate_tryInvoke
3990046890	19254	head_ref_force_pushed	2020-11-12T18:18:10Z	locks	[RFC_673]_Deprecate_tryInvoke
3990011854	19263	head_ref_deleted	2020-11-12T18:09:26Z	pzuraq	[BUGFIX_lts]_Remove_`@dependentKeyCompat`_assertion
3990011758	19263	closed	2020-11-12T18:09:25Z	pzuraq	[BUGFIX_lts]_Remove_`@dependentKeyCompat`_assertion
3990011738	19263	merged	2020-11-12T18:09:24Z	pzuraq	[BUGFIX_lts]_Remove_`@dependentKeyCompat`_assertion
3990011737	19263	referenced	2020-11-12T18:09:24Z	pzuraq	[BUGFIX_lts]_Remove_`@dependentKeyCompat`_assertion
