EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
3385149935	5663	review_requested	2020-05-29T00:21:56Z	bicknellr	Wrap_nodes_before_calling_{add,remove}EventListener.
3385149932	5663	review_requested	2020-05-29T00:21:56Z	bicknellr	Wrap_nodes_before_calling_{add,remove}EventListener.
3358876679	5661	closed	2020-05-21T01:19:28Z	kevinpschaaf	Accept_function_in_legacy__template_field_for_template_parsing
3358876672	5660	closed	2020-05-21T01:19:28Z	kevinpschaaf	Add_support_for_lazy_template_function_in_legacy__template_field
3358876667	5661	merged	2020-05-21T01:19:28Z	kevinpschaaf	Accept_function_in_legacy__template_field_for_template_parsing
3358876666	5661	referenced	2020-05-21T01:19:28Z	kevinpschaaf	Accept_function_in_legacy__template_field_for_template_parsing
3356325689	5662	labeled	2020-05-20T12:55:16Z	googlebot	Create_jekyll.yml
3356325271	5662	review_requested	2020-05-20T12:55:11Z	admin0937	Create_jekyll.yml
3356325270	5662	review_requested	2020-05-20T12:55:11Z	admin0937	Create_jekyll.yml
3343760816	5532	labeled	2020-05-16T16:41:02Z	stale[bot]	Polymer_2:__::part()_in_polymer_is_not_compatible_with_Microsoft-Edge_and_IE
3338837888	5660	labeled	2020-05-14T23:56:47Z	kevinpschaaf	Add_support_for_lazy_template_function_in_legacy__template_field
3338780340	5661	labeled	2020-05-14T23:25:58Z	googlebot	Accept_function_in_legacy__template_field_for_template_parsing
3338780210	5661	review_requested	2020-05-14T23:25:54Z	kevinpschaaf	Accept_function_in_legacy__template_field_for_template_parsing
3338770929	5660	referenced	2020-05-14T23:21:37Z	kevinpschaaf	Add_support_for_lazy_template_function_in_legacy__template_field
3338766989	5660	assigned	2020-05-14T23:19:48Z	kevinpschaaf	Add_support_for_lazy_template_function_in_legacy__template_field
3338766976	5660	labeled	2020-05-14T23:19:48Z	kevinpschaaf	Add_support_for_lazy_template_function_in_legacy__template_field
3338766975	5660	labeled	2020-05-14T23:19:48Z	kevinpschaaf	Add_support_for_lazy_template_function_in_legacy__template_field
3338766973	5660	labeled	2020-05-14T23:19:48Z	kevinpschaaf	Add_support_for_lazy_template_function_in_legacy__template_field
3334222408	5656	head_ref_deleted	2020-05-13T23:06:11Z	bicknellr	Remove_types_from_LegacyElementMixin's_overridden_setAttribute_and_removeAttribute.
3334222256	5656	closed	2020-05-13T23:06:08Z	bicknellr	Remove_types_from_LegacyElementMixin's_overridden_setAttribute_and_removeAttribute.
3334222253	5656	merged	2020-05-13T23:06:07Z	bicknellr	Remove_types_from_LegacyElementMixin's_overridden_setAttribute_and_removeAttribute.
3334222251	5656	referenced	2020-05-13T23:06:07Z	bicknellr	Remove_types_from_LegacyElementMixin's_overridden_setAttribute_and_removeAttribute.
3334111672	5656	review_requested	2020-05-13T22:16:44Z	bicknellr	Remove_types_from_LegacyElementMixin's_overridden_setAttribute_and_removeAttribute.
3334111669	5656	review_requested	2020-05-13T22:16:44Z	bicknellr	Remove_types_from_LegacyElementMixin's_overridden_setAttribute_and_removeAttribute.
3334071005	5659	head_ref_deleted	2020-05-13T22:01:30Z	bicknellr	Upstream_internal_type_updates.
3334070845	5659	closed	2020-05-13T22:01:26Z	bicknellr	Upstream_internal_type_updates.
3334070842	5659	merged	2020-05-13T22:01:26Z	bicknellr	Upstream_internal_type_updates.
3334070841	5659	referenced	2020-05-13T22:01:26Z	bicknellr	Upstream_internal_type_updates.
3333999835	5659	labeled	2020-05-13T21:35:59Z	googlebot	Upstream_internal_type_updates.
3333999646	5659	review_requested	2020-05-13T21:35:56Z	bicknellr	Upstream_internal_type_updates.
3333999645	5659	review_requested	2020-05-13T21:35:56Z	bicknellr	Upstream_internal_type_updates.
3333999643	5659	review_requested	2020-05-13T21:35:56Z	bicknellr	Upstream_internal_type_updates.
3333999640	5659	review_requested	2020-05-13T21:35:56Z	bicknellr	Upstream_internal_type_updates.
3318760453	5656	review_requested	2020-05-08T23:52:03Z	bicknellr	Remove_types_from_LegacyElementMixin's_overridden_setAttribute_and_removeAttribute.
3318760452	5656	review_requested	2020-05-08T23:52:03Z	bicknellr	Remove_types_from_LegacyElementMixin's_overridden_setAttribute_and_removeAttribute.
3318760440	5656	ready_for_review	2020-05-08T23:52:02Z	bicknellr	Remove_types_from_LegacyElementMixin's_overridden_setAttribute_and_removeAttribute.
3318724155	5656	labeled	2020-05-08T23:25:25Z	googlebot	Remove_types_from_LegacyElementMixin's_overridden_setAttribute_and_removeAttribute.
3315771416	5655	subscribed	2020-05-08T06:32:07Z	arthurevans	How_can_I_run_unit_test_in_polymer/test/unit/***.html
3315771413	5655	mentioned	2020-05-08T06:32:07Z	arthurevans	How_can_I_run_unit_test_in_polymer/test/unit/***.html
3315528194	5655	subscribed	2020-05-08T04:28:17Z	hexiaoting	How_can_I_run_unit_test_in_polymer/test/unit/***.html
3315528193	5655	mentioned	2020-05-08T04:28:17Z	hexiaoting	How_can_I_run_unit_test_in_polymer/test/unit/***.html
3290804365	5651	closed	2020-04-30T18:29:52Z	bicknellr	[TypeScript]_Possible_breakage_of_LegacyElementMixin_type_definition_with_the_release_of_3.4.0_(No_problem_on_3.3.1)
3286879716	5654	head_ref_deleted	2020-04-29T23:22:23Z	bicknellr	Add_type_for_DomApiNative's_setAttribute_method.
3286879598	5654	closed	2020-04-29T23:22:20Z	bicknellr	Add_type_for_DomApiNative's_setAttribute_method.
3286879591	5654	merged	2020-04-29T23:22:19Z	bicknellr	Add_type_for_DomApiNative's_setAttribute_method.
3286879585	5654	referenced	2020-04-29T23:22:19Z	bicknellr	Add_type_for_DomApiNative's_setAttribute_method.
3286801247	5654	head_ref_force_pushed	2020-04-29T22:50:28Z	bicknellr	Add_type_for_DomApiNative's_setAttribute_method.
3286797873	5654	labeled	2020-04-29T22:49:10Z	googlebot	Add_type_for_DomApiNative's_setAttribute_method.
3286797756	5654	review_requested	2020-04-29T22:49:07Z	bicknellr	Add_type_for_DomApiNative's_setAttribute_method.
3286797753	5654	review_requested	2020-04-29T22:49:07Z	bicknellr	Add_type_for_DomApiNative's_setAttribute_method.
3286797750	5654	review_requested	2020-04-29T22:49:07Z	bicknellr	Add_type_for_DomApiNative's_setAttribute_method.
3286742615	5653	head_ref_deleted	2020-04-29T22:28:58Z	bicknellr	Remove_automatic_TypeScript_type_generation
3286742465	5653	closed	2020-04-29T22:28:54Z	bicknellr	Remove_automatic_TypeScript_type_generation
3286742450	5653	merged	2020-04-29T22:28:54Z	bicknellr	Remove_automatic_TypeScript_type_generation
3286742447	5653	referenced	2020-04-29T22:28:54Z	bicknellr	Remove_automatic_TypeScript_type_generation
3286685731	5653	review_requested	2020-04-29T22:08:50Z	bicknellr	Remove_automatic_TypeScript_type_generation
3286685730	5653	review_requested	2020-04-29T22:08:50Z	bicknellr	Remove_automatic_TypeScript_type_generation
3286685720	5653	ready_for_review	2020-04-29T22:08:49Z	bicknellr	Remove_automatic_TypeScript_type_generation
3286685629	5653	review_requested	2020-04-29T22:08:48Z	bicknellr	Remove_automatic_TypeScript_type_generation
3286505530	5653	labeled	2020-04-29T21:09:05Z	googlebot	Remove_automatic_TypeScript_type_generation
3282512877	5652	head_ref_deleted	2020-04-28T23:37:51Z	bicknellr	Update_Closure_types_for_overridden_setAttribute_in_LegacyElementMixin.
3282512776	5652	closed	2020-04-28T23:37:48Z	bicknellr	Update_Closure_types_for_overridden_setAttribute_in_LegacyElementMixin.
3282512768	5652	merged	2020-04-28T23:37:48Z	bicknellr	Update_Closure_types_for_overridden_setAttribute_in_LegacyElementMixin.
3282512765	5652	referenced	2020-04-28T23:37:48Z	bicknellr	Update_Closure_types_for_overridden_setAttribute_in_LegacyElementMixin.
3282458918	5652	labeled	2020-04-28T23:11:56Z	googlebot	Update_Closure_types_for_overridden_setAttribute_in_LegacyElementMixin.
