EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
4031710143	20326	labeled	2020-11-24T09:29:47Z	eps1lon	Error:_"value_is_undefined"
4031710141	20326	labeled	2020-11-24T09:29:47Z	eps1lon	Error:_"value_is_undefined"
4031666509	20327	labeled	2020-11-24T09:20:17Z	eps1lon	Bug:_[react-reconciler]_Impossible_to_import_react-reconciler_correctly_in_typescript_library_without_setting_esModuleInterop:true_in_tsconfig.
4031662758	20324	labeled	2020-11-24T09:19:26Z	eps1lon	Bug:_error_thrown_in_serviceWorker.js
4031662757	20324	unlabeled	2020-11-24T09:19:26Z	eps1lon	Bug:_error_thrown_in_serviceWorker.js
4031662248	20324	closed	2020-11-24T09:19:19Z	eps1lon	Bug:_error_thrown_in_serviceWorker.js
4030978060	20327	labeled	2020-11-24T06:10:58Z	JustFly1984	Bug:_[react-reconciler]_Impossible_to_import_react-reconciler_correctly_in_typescript_library_without_setting_esModuleInterop:true_in_tsconfig.
4030145901	20323	subscribed	2020-11-24T00:00:17Z	hopper01	Feature_Request:__Add_some_COMPARISONS_method_for_dependencies_in_the_"useEffect"_hook._For_number_datatype,_the_inbuilt_comparison_method_works_just_fine_but_for_"Arrays",_it_creates_problem._I_have_shown_an_example_below:__
4030145897	20323	mentioned	2020-11-24T00:00:17Z	hopper01	Feature_Request:__Add_some_COMPARISONS_method_for_dependencies_in_the_"useEffect"_hook._For_number_datatype,_the_inbuilt_comparison_method_works_just_fine_but_for_"Arrays",_it_creates_problem._I_have_shown_an_example_below:__
4030006123	20325	labeled	2020-11-23T23:02:17Z	TristanBarrowAboutTime	Bug:_ref.current.contains(e.target)_returns_incorrect_value_if_react_element_is_removed_on_the_next_render_
4029957185	20324	labeled	2020-11-23T22:44:42Z	Maarondesigns	Bug:_error_thrown_in_serviceWorker.js
4029339127	14725	referenced	2020-11-23T19:40:39Z	scottnonnenberg	ReactDOM_renderToString_adds_empty_HTML_comments
4029296245	20323	renamed	2020-11-23T19:28:36Z	hopper01	Feature_Request:__Add_some_COMPARISONS_method_for_dependencies_in_the_"useEffect"_hook._For_number_datatype,_the_inbuilt_comparison_method_works_just_fine_but_for_"Arrays",_it_creates_problem._I_have_shown_an_example_below:__
4029294169	20323	renamed	2020-11-23T19:28:03Z	hopper01	Feature_Request:__Add_some_COMPARISONS_method_for_dependencies_in_the_"useEffect"_hook._For_number_datatype,_the_inbuilt_comparison_method_works_just_fine_but_for_"Arrays",_it_creates_problem._I_have_shown_an_example_below:__
4029269046	20323	labeled	2020-11-23T19:21:08Z	hopper01	Feature_Request:__Add_some_COMPARISONS_method_for_dependencies_in_the_"useEffect"_hook._For_number_datatype,_the_inbuilt_comparison_method_works_just_fine_but_for_"Arrays",_it_creates_problem._I_have_shown_an_example_below:__
4029126353	20322	closed	2020-11-23T18:41:46Z	hopper01	Feature_Request:_I_want_to_suggest_some_additional_COMPARISONS_method_for_the_"useEffect"_hook.
4029125417	20322	labeled	2020-11-23T18:41:31Z	hopper01	Feature_Request:_I_want_to_suggest_some_additional_COMPARISONS_method_for_the_"useEffect"_hook.
4028952945	12570	subscribed	2020-11-23T17:58:38Z	apoorvtomar2222	ReactJS_Logo_License
4028952933	12570	mentioned	2020-11-23T17:58:38Z	apoorvtomar2222	ReactJS_Logo_License
4027488993	20321	labeled	2020-11-23T12:50:31Z	facebook-github-bot	Update_danger.js
4027365714	20321	subscribed	2020-11-23T12:20:32Z	JeffCorp	Update_danger.js
4027365711	20321	mentioned	2020-11-23T12:20:32Z	JeffCorp	Update_danger.js
4026623012	20320	labeled	2020-11-23T09:27:19Z	eps1lon	Cannot_set_headers_after_they_are_sent_to_client_Error
4026623010	20320	unlabeled	2020-11-23T09:27:19Z	eps1lon	Cannot_set_headers_after_they_are_sent_to_client_Error
4026622583	20320	closed	2020-11-23T09:27:12Z	eps1lon	Cannot_set_headers_after_they_are_sent_to_client_Error
4026414177	20317	subscribed	2020-11-23T08:36:35Z	maxsbelt	Bug:_Blur/Focus_remaining_bug
4026414174	20317	mentioned	2020-11-23T08:36:35Z	maxsbelt	Bug:_Blur/Focus_remaining_bug
4026414166	20317	closed	2020-11-23T08:36:35Z	baeharam	Bug:_Blur/Focus_remaining_bug
4026169116	20317	subscribed	2020-11-23T07:28:41Z	baeharam	Bug:_Blur/Focus_remaining_bug
4026169114	20317	mentioned	2020-11-23T07:28:40Z	baeharam	Bug:_Blur/Focus_remaining_bug
4026151354	20320	labeled	2020-11-23T07:22:51Z	archie-bryann	Cannot_set_headers_after_they_are_sent_to_client_Error
4025613500	20319	labeled	2020-11-23T02:55:16Z	facebook-github-bot	[Flight]_Fix_Client_components_losing_state_on_refetches
4025613392	20319	labeled	2020-11-23T02:55:13Z	facebook-github-bot	[Flight]_Fix_Client_components_losing_state_on_refetches
4025613376	20319	review_requested	2020-11-23T02:55:12Z	gaearon	[Flight]_Fix_Client_components_losing_state_on_refetches
4025563246	20318	labeled	2020-11-23T02:19:50Z	facebook-github-bot	Failing_test_for_Client_reconciliation
4025563178	20318	labeled	2020-11-23T02:19:47Z	facebook-github-bot	Failing_test_for_Client_reconciliation
4025488476	20297	subscribed	2020-11-23T01:16:10Z	ogasawaraShinnosuke	Bug:_Infinite_loop_when_following_the_instructions_of_Exhaustive_Deps.
4025488475	20297	mentioned	2020-11-23T01:16:10Z	ogasawaraShinnosuke	Bug:_Infinite_loop_when_following_the_instructions_of_Exhaustive_Deps.
4025488473	20297	closed	2020-11-23T01:16:09Z	ogasawaraShinnosuke	Bug:_Infinite_loop_when_following_the_instructions_of_Exhaustive_Deps.
4025453010	20317	labeled	2020-11-23T00:45:29Z	baeharam	Bug:_Blur/Focus_remaining_bug
4025381442	20316	head_ref_force_pushed	2020-11-22T23:33:58Z	gaearon	[Flight_Fixture]_Refetching
4025381360	20316	head_ref_force_pushed	2020-11-22T23:33:52Z	gaearon	[Flight_Fixture]_Refetching
4025377718	20316	labeled	2020-11-22T23:29:38Z	facebook-github-bot	[Flight_Fixture]_Refetching
4025377700	20316	labeled	2020-11-22T23:29:36Z	facebook-github-bot	[Flight_Fixture]_Refetching
4025287222	20315	labeled	2020-11-22T21:45:04Z	facebook-github-bot	[Flight]_Add_readCache()_to_the_dispatcher
4025287163	20315	labeled	2020-11-22T21:45:00Z	facebook-github-bot	[Flight]_Add_readCache()_to_the_dispatcher
4025287162	20315	review_requested	2020-11-22T21:45:00Z	gaearon	[Flight]_Add_readCache()_to_the_dispatcher
4025278603	20303	head_ref_deleted	2020-11-22T21:34:54Z	gaearon	Use_cache_in_the_fixture
4025276824	20303	closed	2020-11-22T21:32:36Z	gaearon	Use_cache_in_the_fixture
