EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
4049331229	4910	subscribed	2020-11-29T19:20:40Z	Fygo	Elements_(components)_with_transition_overlap_each_other_in_an_each_block_using_flip_animation
4049331225	4910	mentioned	2020-11-29T19:20:40Z	Fygo	Elements_(components)_with_transition_overlap_each_other_in_an_each_block_using_flip_animation
4049153656	5732	head_ref_force_pushed	2020-11-29T15:50:42Z	milahu	add:_import_decoded_sourcemaps_from_SourceMapGenerator
4049019435	5730	subscribed	2020-11-29T13:17:02Z	fpassaniti	contentEditable_on_store_properties_does_not_trigger_reactivity
4049019434	5730	mentioned	2020-11-29T13:17:02Z	fpassaniti	contentEditable_on_store_properties_does_not_trigger_reactivity
4048770414	4348	subscribed	2020-11-29T07:09:08Z	crisward	Lightdom_slots
4048770413	4348	mentioned	2020-11-29T07:09:08Z	crisward	Lightdom_slots
4048691770	5003	subscribed	2020-11-29T04:23:53Z	lucidNTR	Implement_minimal_effort_compromise_to_support_Deno/_ESM
4048691769	5003	mentioned	2020-11-29T04:23:53Z	lucidNTR	Implement_minimal_effort_compromise_to_support_Deno/_ESM
4048517531	5139	subscribed	2020-11-28T23:03:46Z	Truffula	Initialize_custom_elements_in_connectedCallback
4048517530	5139	mentioned	2020-11-28T23:03:46Z	Truffula	Initialize_custom_elements_in_connectedCallback
4048513781	4348	subscribed	2020-11-28T22:57:51Z	crisward	Lightdom_slots
4048513779	4348	mentioned	2020-11-28T22:57:51Z	crisward	Lightdom_slots
4048491706	5706	subscribed	2020-11-28T22:22:13Z	dummdidumm	"What's_new_in_Svelte"_December_newsletter
4048491704	5706	mentioned	2020-11-28T22:22:13Z	dummdidumm	"What's_new_in_Svelte"_December_newsletter
4048491702	5706	subscribed	2020-11-28T22:22:13Z	benmccann	"What's_new_in_Svelte"_December_newsletter
4048491699	5706	mentioned	2020-11-28T22:22:13Z	benmccann	"What's_new_in_Svelte"_December_newsletter
4048006988	5723	subscribed	2020-11-28T11:45:20Z	tanhauhau	Example_image_missing_for_conditional_slot
4048006985	5723	mentioned	2020-11-28T11:45:20Z	tanhauhau	Example_image_missing_for_conditional_slot
4048004448	5383	referenced	2020-11-28T11:41:17Z	tanhauhau	Adds_conditional_slot_example
4048004437	5723	closed	2020-11-28T11:41:16Z	tanhauhau	Example_image_missing_for_conditional_slot
4048004434	5723	merged	2020-11-28T11:41:15Z	tanhauhau	Example_image_missing_for_conditional_slot
4048004433	5723	referenced	2020-11-28T11:41:15Z	tanhauhau	Example_image_missing_for_conditional_slot
4047847147	5408	subscribed	2020-11-28T09:44:36Z	Fygo	Question:_Reactivity_not_triggering_when_variable_changed_in_a_function_?
4047847144	5408	mentioned	2020-11-28T09:44:36Z	Fygo	Question:_Reactivity_not_triggering_when_variable_changed_in_a_function_?
4047847140	5408	subscribed	2020-11-28T09:44:36Z	tanhauhau	Question:_Reactivity_not_triggering_when_variable_changed_in_a_function_?
4047847137	5408	mentioned	2020-11-28T09:44:36Z	tanhauhau	Question:_Reactivity_not_triggering_when_variable_changed_in_a_function_?
4047593408	2281	subscribed	2020-11-28T02:30:10Z	jpinho	onMount_triggers_in_reverse_order_for_siblings
4047593407	2281	mentioned	2020-11-28T02:30:10Z	jpinho	onMount_triggers_in_reverse_order_for_siblings
4047536588	2281	subscribed	2020-11-28T01:01:36Z	benwoodward	onMount_triggers_in_reverse_order_for_siblings
4047536587	2281	mentioned	2020-11-28T01:01:36Z	benwoodward	onMount_triggers_in_reverse_order_for_siblings
4047375972	5408	subscribed	2020-11-27T21:59:22Z	Florian-Schoenherr	Question:_Reactivity_not_triggering_when_variable_changed_in_a_function_?
4047375970	5408	mentioned	2020-11-27T21:59:22Z	Florian-Schoenherr	Question:_Reactivity_not_triggering_when_variable_changed_in_a_function_?
4047375967	5408	subscribed	2020-11-27T21:59:22Z	antony	Question:_Reactivity_not_triggering_when_variable_changed_in_a_function_?
4047375966	5408	mentioned	2020-11-27T21:59:22Z	antony	Question:_Reactivity_not_triggering_when_variable_changed_in_a_function_?
4046794580	5715	subscribed	2020-11-27T16:43:43Z	tanhauhau	site_a11y:_add_missing_h1s
4046794576	5715	mentioned	2020-11-27T16:43:43Z	tanhauhau	site_a11y:_add_missing_h1s
4046067335	5727	closed	2020-11-27T13:06:37Z	Conduitry	add_missing_export_for_hasContext
4046067319	5726	closed	2020-11-27T13:06:37Z	Conduitry	hasContext_not_exported
4046067309	5727	merged	2020-11-27T13:06:37Z	Conduitry	add_missing_export_for_hasContext
4046067300	5727	referenced	2020-11-27T13:06:37Z	Conduitry	add_missing_export_for_hasContext
4045292111	5708	closed	2020-11-27T09:28:01Z	tanhauhau	Executing_`export_let_propName`_before_the_rest_of_code_in_<script>_regardless_of_position
