EVENT_ID  ISSUE_ID  TYPE                CREATION_DATE               ACTOR      TITLE
4017581080 29315 | head_ref_force_pushed | 2020-11-19T19:40:39Z | XhmikosR | Add pa11y-ci for automated accessibility tests
4017581042 32211 | review_requested | 2020-11-19T19:40:38Z | kyletsang | v4: Fix bottom border in nav tabs
4017496985 32181 | head_ref_force_pushed | 2020-11-19T19:17:48Z | XhmikosR | V4 dev backports and updates
4017496973 32198 | referenced | 2020-11-19T19:17:48Z | XhmikosR | examples: add the version number in `title`
4017496965 32189 | referenced | 2020-11-19T19:17:47Z | XhmikosR | docs(dropdowns): clarify where is `.show` applied
4017496955 32182 | referenced | 2020-11-19T19:17:47Z | XhmikosR | Update karma.conf.js
4017496945 32178 | referenced | 2020-11-19T19:17:47Z | XhmikosR | Handle Chromium to run Karma
4017495018 29283 | head_ref_deleted | 2020-11-19T19:17:14Z | XhmikosR | Use Hugo mounts for our docs vendor files.
4017488343 29283 | head_ref_restored | 2020-11-19T19:15:24Z | XhmikosR | Use Hugo mounts for our docs vendor files.
4017472732 32209 | head_ref_deleted | 2020-11-19T19:11:10Z | XhmikosR | Move homepage logo to separate file
4017466570 32210 | head_ref_deleted | 2020-11-19T19:09:36Z | XhmikosR | Revert "Use Hugo mounts for our docs vendor files."
4017466546 32210 | moved_columns_in_project | 2020-11-19T19:09:35Z | XhmikosR | Revert "Use Hugo mounts for our docs vendor files."
4017466522 32210 | closed | 2020-11-19T19:09:35Z | XhmikosR | Revert "Use Hugo mounts for our docs vendor files."
4017466509 32210 | merged | 2020-11-19T19:09:35Z | XhmikosR | Revert "Use Hugo mounts for our docs vendor files."
4017466506 32210 | referenced | 2020-11-19T19:09:35Z | XhmikosR | Revert "Use Hugo mounts for our docs vendor files."
4017464640 27412 | reopened | 2020-11-19T19:09:03Z | XhmikosR | Find a way to consistently use deps accross the whole codebase
4017461525 32210 | added_to_project | 2020-11-19T19:08:11Z | XhmikosR | Revert "Use Hugo mounts for our docs vendor files."
4017461507 32210 | review_requested | 2020-11-19T19:08:11Z | XhmikosR | Revert "Use Hugo mounts for our docs vendor files."
4017461497 32210 | labeled | 2020-11-19T19:08:11Z | XhmikosR | Revert "Use Hugo mounts for our docs vendor files."
4017461495 32210 | labeled | 2020-11-19T19:08:11Z | XhmikosR | Revert "Use Hugo mounts for our docs vendor files."
4017440127 32209 | closed | 2020-11-19T19:02:29Z | MartijnCuppens | Move homepage logo to separate file
4017425605 3942 | referenced | 2020-11-19T18:58:52Z | agentdave | License for Glyphicons is unclear
4017414506 31863 | subscribed | 2020-11-19T18:56:06Z | mdo | Add separator to following same colored buttons in button group
4017414502 31863 | mentioned | 2020-11-19T18:56:06Z | mdo | Add separator to following same colored buttons in button group
4017409682 29283 | moved_columns_in_project | 2020-11-19T18:54:51Z | XhmikosR | Use Hugo mounts for our docs vendor files.
4017409494 29283 | added_to_project | 2020-11-19T18:54:48Z | XhmikosR | Use Hugo mounts for our docs vendor files.
4017409284 29283 | head_ref_deleted | 2020-11-19T18:54:45Z | XhmikosR | Use Hugo mounts for our docs vendor files.
4017409216 29283 | closed | 2020-11-19T18:54:44Z | XhmikosR | Use Hugo mounts for our docs vendor files.
4017409206 27412 | closed | 2020-11-19T18:54:43Z | XhmikosR | Find a way to consistently use deps accross the whole codebase
4017409187 29283 | merged | 2020-11-19T18:54:43Z | XhmikosR | Use Hugo mounts for our docs vendor files.
4017409174 29283 | referenced | 2020-11-19T18:54:43Z | XhmikosR | Use Hugo mounts for our docs vendor files.
4017348525 32201 | head_ref_deleted | 2020-11-19T18:38:41Z | XhmikosR | fix(container): use $variable-prefix
4017348476 32201 | moved_columns_in_project | 2020-11-19T18:38:41Z | XhmikosR | fix(container): use $variable-prefix
4017348448 32201 | closed | 2020-11-19T18:38:40Z | XhmikosR | fix(container): use $variable-prefix
4017348438 32201 | merged | 2020-11-19T18:38:40Z | XhmikosR | fix(container): use $variable-prefix
4017348431 32201 | referenced | 2020-11-19T18:38:40Z | XhmikosR | fix(container): use $variable-prefix
4017338073 32158 | referenced | 2020-11-19T18:35:50Z | XhmikosR | Switch to jsDelivr for the remaining docs assets
4017336906 32203 | moved_columns_in_project | 2020-11-19T18:35:33Z | XhmikosR | Backport #32158
4017336677 32203 | head_ref_deleted | 2020-11-19T18:35:30Z | XhmikosR | Backport #32158
4017336578 32203 | closed | 2020-11-19T18:35:29Z | XhmikosR | Backport #32158
4017336562 32203 | merged | 2020-11-19T18:35:28Z | XhmikosR | Backport #32158
4017336554 32203 | referenced | 2020-11-19T18:35:28Z | XhmikosR | Backport #32158
4017325913 32204 | head_ref_deleted | 2020-11-19T18:32:37Z | XhmikosR | Fix a few typos
4017325872 32204 | moved_columns_in_project | 2020-11-19T18:32:36Z | XhmikosR | Fix a few typos
4017325856 32204 | closed | 2020-11-19T18:32:36Z | XhmikosR | Fix a few typos
4017325851 32204 | merged | 2020-11-19T18:32:35Z | XhmikosR | Fix a few typos
​4017325848 32204 | referenced | 2020-11-19T18:32:35Z | XhmikosR | Fix a few typos
​ 4017270558 32209 | head_ref_force_pushed | 2020-11-19T18:17:59Z | MartijnCuppens | Move homepage logo to separate file
​ 4017261508 32209 | subscribed | 2020-11-19T18:15:47Z | XhmikosR | Move homepage logo to separate file
​ 4017261505 32209 | mentioned | 2020-11-19T18:15:47Z | XhmikosR | Move homepage logo to separate file
​ 4017261487 32209 | labeled | 2020-11-19T18:15:47Z | MartijnCuppens | Move homepage logo to separate file
​ 4017261485 32209 | labeled | 2020-11-19T18:15:47Z | MartijnCuppens | Move homepage logo to separate file
​ 4017227314 32187 | head_ref_deleted | 2020-11-19T18:07:08Z | MartijnCuppens | Manually optimize SVGs
​ 4017227268 32187 | moved_columns_in_project | 2020-11-19T18:07:07Z | MartijnCuppens | Manually optimize SVGs
​ 4017227234 32187 | closed | 2020-11-19T18:07:07Z | MartijnCuppens | Manually optimize SVGs
​ 4017227231 32187 | merged | 2020-11-19T18:07:07Z | MartijnCuppens | Manually optimize SVGs
​ 4017227228 32187 | referenced | 2020-11-19T18:07:07Z | MartijnCuppens | Manually optimize SVGs
​ 4017222893 32201 | moved_columns_in_project | 2020-11-19T18:06:00Z | MartijnCuppens | fix(container): use $variable-prefix
​ 4017166095 32165 | subscribed | 2020-11-19T17:52:29Z | spahno | Fix focus for dropdown items
​ 4017166084 32165 | mentioned | 2020-11-19T17:52:29Z | spahno | Fix focus for dropdown items
​ 4017147067 32204 | moved_columns_in_project | 2020-11-19T17:47:55Z | ffoodd | Fix a few typos
​ 4017058155 32187 | head_ref_force_pushed | 2020-11-19T17:27:27Z | MartijnCuppens | Manually optimize SVGs
​ 4016929598 32200 | closed | 2020-11-19T17:02:24Z | mdo | v5: Prepend and append items into floating-labels
​ 4016836208 29315 | labeled | 2020-11-19T16:45:03Z | XhmikosR | Add pa11y-ci for automated accessibility tests
​ 4016787668 32207 | labeled | 2020-11-19T16:34:53Z | ffoodd | feat(grid): simplify gutters usage
​ 4016787667 32207 | labeled | 2020-11-19T16:34:53Z | ffoodd | feat(grid): simplify gutters usage
​ 4016715539 32206 | subscribed | 2020-11-19T16:20:18Z | mdo | Revert colors.yml accidental changes
