EVENT_ID  ISSUE_ID  TYPE        CREATION_DATE           ACTOR            TITLE

​ 4020135916 45037 | renamed | 2020-11-20T10:07:11Z | wanghao0225 | tensorflow version 2.2.0 ;question:WARNING:tensorflow:6 out of the last 11 calls to <function Model.make_predict_function.<locals>.predict_function at 0x0000023B864321F8> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings is likely due to passing python objects instead of tensors. Also, tf.function has experimental_relax_shapes=True option that relaxes argument shapes that can avoid unnecessary retracing. Please refer to https://www.tensorflow.org/tutorials/customization/performance#python_or_tensor_args and https://www.tensorflow.org/api_docs/python/tf/function for more details.
​ 4020133412 45037 | assigned | 2020-11-20T10:06:34Z | amahendrakar | tensorflow version 2.2.0 ;question:WARNING:tensorflow:6 out of the last 11 calls to <function Model.make_predict_function.<locals>.predict_function at 0x0000023B864321F8> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings is likely due to passing python objects instead of tensors. Also, tf.function has experimental_relax_shapes=True option that relaxes argument shapes that can avoid unnecessary retracing. Please refer to https://www.tensorflow.org/tutorials/customization/performance#python_or_tensor_args and https://www.tensorflow.org/api_docs/python/tf/function for more details.
​ 4020031413 44176 | subscribed | 2020-11-20T09:43:05Z | federicoruggeri | Massive memory leaks due to data.Dataset.shuffle
​ 4020031408 44176 | mentioned | 2020-11-20T09:43:05Z | federicoruggeri | Massive memory leaks due to data.Dataset.shuffle
​ 4020031401 44176 | subscribed | 2020-11-20T09:43:05Z | jsimsa | Massive memory leaks due to data.Dataset.shuffle
​ 4020031396 44176 | mentioned | 2020-11-20T09:43:05Z | jsimsa | Massive memory leaks due to data.Dataset.shuffle
​ 4020018549 45033 | labeled | 2020-11-20T09:40:07Z | Saduf2019 | tensorflow/lite/micro/tools/make/Makefile:403: *** Something went wrong with the flatbuffers download: .  Stop.
​ 4020018079 45033 | labeled | 2020-11-20T09:40:00Z | Saduf2019 | tensorflow/lite/micro/tools/make/Makefile:403: *** Something went wrong with the flatbuffers download: .  Stop.
​ 4020008564 45005 | subscribed | 2020-11-20T09:37:45Z | bhack | Unable to perform subsampling using tf.data.Dataset map() method.
​ 4020008555 45005 | mentioned | 2020-11-20T09:37:45Z | bhack | Unable to perform subsampling using tf.data.Dataset map() method.
​ 4020005603 45032 | assigned | 2020-11-20T09:37:02Z | ymodak | Wheel repairing broken when using tensorflow/tensorflow:custom-op-gpu-ubuntu16 docker image
​ 4020005597 45032 | unassigned | 2020-11-20T09:37:02Z | ravikyram | Wheel repairing broken when using tensorflow/tensorflow:custom-op-gpu-ubuntu16 docker image
​ 4020004824 45032 | labeled | 2020-11-20T09:36:48Z | ravikyram | Wheel repairing broken when using tensorflow/tensorflow:custom-op-gpu-ubuntu16 docker image
​ 4019997162 45026 | assigned | 2020-11-20T09:34:57Z | rmothukuru | Reduce on MirroredVariable
​ 4019997157 45026 | unassigned | 2020-11-20T09:34:57Z | ravikyram | Reduce on MirroredVariable
