EVENT_ID  ISSUE_ID  TYPE        CREATION_DATE                ACTOR               TITLE
​ 4022296721 80666 | labeled | 2020-11-20T18:41:13Z | vscode-triage-bot | Unnecessary code and decoration with :after prevents dnd
​ 4022296259 80666 | unlabeled | 2020-11-20T18:41:03Z | alexdima | Unnecessary code and decoration with :after prevents dnd
​ 4022296051 80666 | milestoned | 2020-11-20T18:40:59Z | alexdima | Unnecessary code and decoration with :after prevents dnd
​ 4022296047 80666 | demilestoned | 2020-11-20T18:40:59Z | alexdima | Unnecessary code and decoration with :after prevents dnd
​ 4022295614 108379 | closed | 2020-11-20T18:40:50Z | alexdima | Ignore LineDecoration order when comparing
​ 4022295597 80666 | closed | 2020-11-20T18:40:50Z | alexdima | Unnecessary code and decoration with :after prevents dnd
​ 4022295585 108379 | merged | 2020-11-20T18:40:49Z | alexdima | Ignore LineDecoration order when comparing
​ 4022295582 108379 | referenced | 2020-11-20T18:40:49Z | alexdima | Ignore LineDecoration order when comparing
​ 4022294394 108379 | milestoned | 2020-11-20T18:40:28Z | alexdima | Ignore LineDecoration order when comparing
​ 4022292307 110988 | subscribed | 2020-11-20T18:39:52Z | isidorn | SetBreakpointsRequest accounts for tab size in column
​ 4022292305 110988 | mentioned | 2020-11-20T18:39:52Z | isidorn | SetBreakpointsRequest accounts for tab size in column
​ 4022292293 110988 | closed | 2020-11-20T18:39:52Z | hinshun | SetBreakpointsRequest accounts for tab size in column
​ 4022270426 111046 | subscribed | 2020-11-20T18:33:23Z | isidorn | messages in the console when starting code-exploration
​ 4022270418 111046 | mentioned | 2020-11-20T18:33:23Z | isidorn | messages in the console when starting code-exploration
​ 4022246075 107942 | subscribed | 2020-11-20T18:26:17Z | hems | finally fixed my terminal font issues
​ 4022246071 107942 | mentioned | 2020-11-20T18:26:17Z | hems | finally fixed my terminal font issues
​ 4022213690 111041 | unassigned | 2020-11-20T18:17:33Z | meganrogge | Version 1.51.1 in wsl2 does not work right
​ 4022213039 111041 | assigned | 2020-11-20T18:17:25Z | aeschli | Version 1.51.1 in wsl2 does not work right
​ 4022166368 111050 | assigned | 2020-11-20T18:07:36Z | rebornix | On cell creation event for Notebook API
​ 4022149897 111043 | assigned | 2020-11-20T18:04:54Z | sandy081 | Documentation missing for extensionKind = web
​ 4022149846 111045 | assigned | 2020-11-20T18:04:53Z | joaomoreno | "Select Python interpreter" doesn't show up in status bar. Manjaro KDE
​ 4022149741 111047 | assigned | 2020-11-20T18:04:52Z | weinand | Unable to run scripts in Editor if folders in explorer or workspace
​ 4022128478 110721 | subscribed | 2020-11-20T18:01:13Z | misolori | Align the `install` buttons in the recommendations dialog with the extensions viewlet
​ 4022128475 110721 | mentioned | 2020-11-20T18:01:13Z | misolori | Align the `install` buttons in the recommendations dialog with the extensions viewlet
​ 4022125703 110721 | labeled | 2020-11-20T18:00:44Z | sandy081 | Align the `install` buttons in the recommendations dialog with the extensions viewlet
​ 4022103569 108946 | closed | 2020-11-20T17:56:44Z | rebornix | Trust Notebook Content and readonly notebooks
​ 4022049032 110672 | labeled | 2020-11-20T17:45:47Z | meganrogge | Intergrated terminal prompt is black on black
​ 4022042187 110677 | labeled | 2020-11-20T17:44:02Z | meganrogge | clear terminal issue in vscode 
​ 4022039784 110988 | labeled | 2020-11-20T17:43:27Z | isidorn | SetBreakpointsRequest accounts for tab size in column
​ 4022039425 110988 | subscribed | 2020-11-20T17:43:22Z | hinshun | SetBreakpointsRequest accounts for tab size in column
​ 4022039422 110988 | mentioned | 2020-11-20T17:43:22Z | hinshun | SetBreakpointsRequest accounts for tab size in column
​ 4022037642 110534 | reopened | 2020-11-20T17:42:56Z | amcasey | Expose TS server tracing
​ 4022037399 110534 | closed | 2020-11-20T17:42:54Z | amcasey | Expose TS server tracing
​ 4022032024 111041 | labeled | 2020-11-20T17:41:37Z | meganrogge | Version 1.51.1 in wsl2 does not work right
​ 4022031165 111041 | labeled | 2020-11-20T17:41:23Z | meganrogge | Version 1.51.1 in wsl2 does not work right
​ 4022029927 111044 | closed | 2020-11-20T17:41:03Z | ericthomas1 | v1.51.1 File Tree UI Bug
​ 4022021246 110949 | closed | 2020-11-20T17:39:04Z | meganrogge | terminal wsl failed to launch 
​ 4022002105 111041 | labeled | 2020-11-20T17:34:18Z | meganrogge | Version 1.51.1 in wsl2 does not work right
​ 4022001525 111041 | labeled | 2020-11-20T17:34:10Z | meganrogge | Version 1.51.1 in wsl2 does not work right
​ 4021980662 110364 | closed | 2020-11-20T17:29:17Z | meganrogge | Running dotnet test on WSL1 debian10 sometimes turns off echo
​ 4021955214 109527 | subscribed | 2020-11-20T17:23:18Z | bpasero | Add ability to change fs provider capabilities dynamically
​ 4021955208 109527 | mentioned | 2020-11-20T17:23:18Z | bpasero | Add ability to change fs provider capabilities dynamically
​ 4021920431 110927 | subscribed | 2020-11-20T17:15:03Z | polinasok | Please suppress duplicate threads requests
​ 4021920425 110927 | mentioned | 2020-11-20T17:15:03Z | polinasok | Please suppress duplicate threads requests
​ 4021887826 73996 | labeled | 2020-11-20T17:07:50Z | isidorn | Progress bar for long file operations
