EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
4031931444	14031	unassigned	2020-11-24T10:15:37Z	daxian-dbw	Bump_Microsoft.ApplicationInsights_from_2.15.0_to_2.16.0
4031930829	14031	head_ref_deleted	2020-11-24T10:15:29Z	iSazonov	Bump_Microsoft.ApplicationInsights_from_2.15.0_to_2.16.0
4031930618	14031	unlabeled	2020-11-24T10:15:26Z	msftbot[bot]	Bump_Microsoft.ApplicationInsights_from_2.15.0_to_2.16.0
4031930439	14031	closed	2020-11-24T10:15:24Z	iSazonov	Bump_Microsoft.ApplicationInsights_from_2.15.0_to_2.16.0
4031930432	14031	merged	2020-11-24T10:15:24Z	iSazonov	Bump_Microsoft.ApplicationInsights_from_2.15.0_to_2.16.0
4031930428	14031	referenced	2020-11-24T10:15:24Z	iSazonov	Bump_Microsoft.ApplicationInsights_from_2.15.0_to_2.16.0
4031925908	14243	milestoned	2020-11-24T10:14:29Z	iSazonov	Fix_IDE0032:_UseAutoProperty_part_1
4031925346	14243	closed	2020-11-24T10:14:21Z	iSazonov	Fix_IDE0032:_UseAutoProperty_part_1
4031925331	14243	merged	2020-11-24T10:14:21Z	iSazonov	Fix_IDE0032:_UseAutoProperty_part_1
4031925330	14243	referenced	2020-11-24T10:14:21Z	iSazonov	Fix_IDE0032:_UseAutoProperty_part_1
4031924298	14243	assigned	2020-11-24T10:14:06Z	iSazonov	Fix_IDE0032:_UseAutoProperty_part_1
4031924286	14243	unassigned	2020-11-24T10:14:06Z	rjmholt	Fix_IDE0032:_UseAutoProperty_part_1
4031915706	14233	milestoned	2020-11-24T10:12:21Z	iSazonov	Mark_private_members_as_static_part_8
4031915104	14233	closed	2020-11-24T10:12:12Z	iSazonov	Mark_private_members_as_static_part_8
4031915095	14233	merged	2020-11-24T10:12:12Z	iSazonov	Mark_private_members_as_static_part_8
4031915086	14233	referenced	2020-11-24T10:12:12Z	iSazonov	Mark_private_members_as_static_part_8
4031858135	14233	assigned	2020-11-24T10:00:16Z	iSazonov	Mark_private_members_as_static_part_8
4031858123	14233	unassigned	2020-11-24T10:00:16Z	adityapatwardhan	Mark_private_members_as_static_part_8
4031622890	14249	assigned	2020-11-24T09:10:30Z	daxian-dbw	Use_xml_documentation_child_blocks_correctly
4031598535	14243	subscribed	2020-11-24T09:04:57Z	iSazonov	Fix_IDE0032:_UseAutoProperty_part_1
4031598519	14243	mentioned	2020-11-24T09:04:57Z	iSazonov	Fix_IDE0032:_UseAutoProperty_part_1
4031591575	14229	head_ref_deleted	2020-11-24T09:03:36Z	xtqqczze	Mark_private_members_as_static_part_6
4031590509	14228	head_ref_deleted	2020-11-24T09:03:25Z	xtqqczze	Mark_private_members_as_static_part_5
4031589330	14227	head_ref_deleted	2020-11-24T09:03:13Z	xtqqczze	Mark_private_members_as_static_part_4
4031588586	14226	head_ref_deleted	2020-11-24T09:03:03Z	xtqqczze	Mark_private_members_as_static_part_3
4031587738	14225	head_ref_deleted	2020-11-24T09:02:52Z	xtqqczze	Mark_private_members_as_static_part_2
4031585302	14073	head_ref_deleted	2020-11-24T09:02:22Z	xtqqczze	Enable_CA2211:_Non-constant_fields_should_not_be_visible
4031583115	14236	convert_to_draft	2020-11-24T09:01:54Z	xtqqczze	Enable_SA1643:_Destructor_summary_documentation
4031553782	14220	head_ref_deleted	2020-11-24T08:55:39Z	xtqqczze	Use_`see`_keyword_in_documentation
4031336145	14246	head_ref_deleted	2020-11-24T08:02:52Z	xtqqczze	Remove_incorrectly_implemented_finalizer
4031333548	14074	head_ref_deleted	2020-11-24T08:02:07Z	xtqqczze	Enable_CA1816:_Dispose_methods_should_call_SuppressFinalize
4031328103	14224	head_ref_deleted	2020-11-24T08:00:37Z	xtqqczze	Mark_private_members_as_static_part_1
4031217446	14229	closed	2020-11-24T07:28:20Z	iSazonov	Mark_private_members_as_static_part_6
4031217436	14229	merged	2020-11-24T07:28:20Z	iSazonov	Mark_private_members_as_static_part_6
4031217430	14229	referenced	2020-11-24T07:28:20Z	iSazonov	Mark_private_members_as_static_part_6
4031217192	14229	assigned	2020-11-24T07:28:15Z	iSazonov	Mark_private_members_as_static_part_6
4031217189	14229	unassigned	2020-11-24T07:28:15Z	TravisEz13	Mark_private_members_as_static_part_6
4031210851	14228	milestoned	2020-11-24T07:26:17Z	iSazonov	Mark_private_members_as_static_part_5
4031210570	14228	assigned	2020-11-24T07:26:13Z	iSazonov	Mark_private_members_as_static_part_5
4031210558	14228	unassigned	2020-11-24T07:26:13Z	rjmholt	Mark_private_members_as_static_part_5
4031210130	14228	closed	2020-11-24T07:26:05Z	iSazonov	Mark_private_members_as_static_part_5
4031210123	14228	merged	2020-11-24T07:26:05Z	iSazonov	Mark_private_members_as_static_part_5
4031210120	14228	referenced	2020-11-24T07:26:05Z	iSazonov	Mark_private_members_as_static_part_5
4031203862	14227	closed	2020-11-24T07:24:05Z	iSazonov	Mark_private_members_as_static_part_4
4031203852	14227	merged	2020-11-24T07:24:05Z	iSazonov	Mark_private_members_as_static_part_4
4031203850	14227	referenced	2020-11-24T07:24:05Z	iSazonov	Mark_private_members_as_static_part_4
4031203562	14227	assigned	2020-11-24T07:24:00Z	iSazonov	Mark_private_members_as_static_part_4
4031203555	14227	unassigned	2020-11-24T07:24:00Z	adityapatwardhan	Mark_private_members_as_static_part_4
