EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
4047498226	16721	subscribed	2020-11-28T00:09:43Z	mppf	should_there_be_an_operator_for_matrix_multiplication?
4047498225	16721	mentioned	2020-11-28T00:09:43Z	mppf	should_there_be_an_operator_for_matrix_multiplication?
4041579497	16194	subscribed	2020-11-26T09:25:04Z	bradcray	Reconsider_`List.pop()`_family_of_routines
4041579490	16194	mentioned	2020-11-26T09:25:04Z	bradcray	Reconsider_`List.pop()`_family_of_routines
4040364613	16592	subscribed	2020-11-26T01:14:34Z	gaurav-singh1998	Adding_support_for_`==`_and_`!=`_comparisons_for_IO_channels.
4040364610	16592	mentioned	2020-11-26T01:14:34Z	gaurav-singh1998	Adding_support_for_`==`_and_`!=`_comparisons_for_IO_channels.
4040364608	16592	subscribed	2020-11-26T01:14:34Z	e-kayrakli	Adding_support_for_`==`_and_`!=`_comparisons_for_IO_channels.
4040364606	16592	mentioned	2020-11-26T01:14:34Z	e-kayrakli	Adding_support_for_`==`_and_`!=`_comparisons_for_IO_channels.
4040363478	16592	unlabeled	2020-11-26T01:13:58Z	bradcray	Adding_support_for_`==`_and_`!=`_comparisons_for_IO_channels.
4039569155	16769	review_requested	2020-11-25T19:27:04Z	e-kayrakli	Small_adjustments_for_Path_module_doc
4039414439	16791	labeled	2020-11-25T18:37:27Z	bradcray	Should_we_support_`!`_on_nilable_class_variables?
4039414436	16791	labeled	2020-11-25T18:37:27Z	bradcray	Should_we_support_`!`_on_nilable_class_variables?
4039159530	16790	subscribed	2020-11-25T17:26:37Z	daviditen	Review_effect_of_`bundled`_on_unique_paths
4039159525	16790	mentioned	2020-11-25T17:26:37Z	daviditen	Review_effect_of_`bundled`_on_unique_paths
4039125748	16784	closed	2020-11-25T17:17:56Z	bradcray	Updates_to_chplspell
4039125735	16784	merged	2020-11-25T17:17:56Z	bradcray	Updates_to_chplspell
4039125727	16784	referenced	2020-11-25T17:17:56Z	bradcray	Updates_to_chplspell
4036777514	16592	subscribed	2020-11-25T08:16:04Z	bradcray	Adding_support_for_`==`_and_`!=`_comparisons_for_IO_channels.
4036777511	16592	mentioned	2020-11-25T08:16:04Z	bradcray	Adding_support_for_`==`_and_`!=`_comparisons_for_IO_channels.
4036526251	16592	labeled	2020-11-25T06:59:18Z	chapelautomaton	Adding_support_for_`==`_and_`!=`_comparisons_for_IO_channels.
4035988075	16789	head_ref_deleted	2020-11-25T03:49:52Z	vasslitvinov	Fix_isOuterVar
4035987945	16760	referenced	2020-11-25T03:49:50Z	vasslitvinov	Should_the_user_be_allowed_to_define_and_explicitly_call_a_module-level_`init`_function?
4035987936	16743	referenced	2020-11-25T03:49:50Z	vasslitvinov	Module-scope_variables_are_not_shadowed_consistently
4035987881	16789	closed	2020-11-25T03:49:48Z	vasslitvinov	Fix_isOuterVar
4035987875	16743	closed	2020-11-25T03:49:48Z	vasslitvinov	Module-scope_variables_are_not_shadowed_consistently
4035987866	16789	merged	2020-11-25T03:49:48Z	vasslitvinov	Fix_isOuterVar
4035987863	16789	referenced	2020-11-25T03:49:48Z	vasslitvinov	Fix_isOuterVar
4035801949	16789	review_requested	2020-11-25T02:38:13Z	vasslitvinov	Fix_isOuterVar
4035742977	16760	referenced	2020-11-25T02:15:29Z	vasslitvinov	Should_the_user_be_allowed_to_define_and_explicitly_call_a_module-level_`init`_function?
4035742975	16743	referenced	2020-11-25T02:15:28Z	vasslitvinov	Module-scope_variables_are_not_shadowed_consistently
4035689031	8496	closed	2020-11-25T01:55:23Z	bradcray	Implementation_of_sync_variable_unwrapping_in_initialization
4035645526	12768	subscribed	2020-11-25T01:38:22Z	dgarvit	Binary_Search_for_leftmost_or_rightmost_element
4035645522	12768	mentioned	2020-11-25T01:38:22Z	dgarvit	Binary_Search_for_leftmost_or_rightmost_element
4035531269	16788	subscribed	2020-11-25T01:09:42Z	ben-albrecht	Split_general_git_tips_out_of_ContributorInfo.rst
4035531265	16788	mentioned	2020-11-25T01:09:42Z	ben-albrecht	Split_general_git_tips_out_of_ContributorInfo.rst
4035363294	15720	subscribed	2020-11-25T00:16:38Z	cassella	Triangle_iterator
4035363283	15720	mentioned	2020-11-25T00:16:37Z	cassella	Triangle_iterator
4035358969	16786	head_ref_deleted	2020-11-25T00:15:00Z	bradcray	Refresh_GettingStarted.rst
4035358867	16679	referenced	2020-11-25T00:14:58Z	bradcray	Consolidate_"Contributing"_documents
4035358811	16786	closed	2020-11-25T00:14:57Z	bradcray	Refresh_GettingStarted.rst
4035358802	16786	merged	2020-11-25T00:14:56Z	bradcray	Refresh_GettingStarted.rst
4035358799	16786	referenced	2020-11-25T00:14:56Z	bradcray	Refresh_GettingStarted.rst
4035191241	16778	subscribed	2020-11-24T23:09:40Z	bradcray	Examples_compilation_failures_on_master
4035191237	16778	mentioned	2020-11-24T23:09:39Z	bradcray	Examples_compilation_failures_on_master
4035191218	16778	closed	2020-11-24T23:09:39Z	PHHargrove	Examples_compilation_failures_on_master
4035075174	16709	subscribed	2020-11-24T22:27:38Z	dgarvit	Fix_typo_in_Map.chpl
4035075171	16709	mentioned	2020-11-24T22:27:38Z	dgarvit	Fix_typo_in_Map.chpl
4035073655	16704	referenced	2020-11-24T22:27:07Z	bradcray	Shared_Memory_Concurrent_Map
4035073587	16709	closed	2020-11-24T22:27:06Z	bradcray	Fix_typo_in_Map.chpl
4035073569	16709	merged	2020-11-24T22:27:05Z	bradcray	Fix_typo_in_Map.chpl
4035073567	16709	referenced	2020-11-24T22:27:05Z	bradcray	Fix_typo_in_Map.chpl
4035063638	16535	labeled	2020-11-24T22:23:39Z	bradcray	Adding_orderToIndex_routine_for_rectangular_domains
4035009203	16784	renamed	2020-11-24T22:05:26Z	bradcray	Updates_to_chplspell
4035007141	16783	labeled	2020-11-24T22:04:45Z	bradcray	chplspell:_warn_about_/_prune_file-specific_entries_that_no_longer_exist
4035007140	16783	labeled	2020-11-24T22:04:45Z	bradcray	chplspell:_warn_about_/_prune_file-specific_entries_that_no_longer_exist
4035007139	16783	labeled	2020-11-24T22:04:45Z	bradcray	chplspell:_warn_about_/_prune_file-specific_entries_that_no_longer_exist
4034972816	16782	labeled	2020-11-24T21:54:38Z	bradcray	chplspell:_skip_over_files_not_under_git_control
4034970233	16782	labeled	2020-11-24T21:53:46Z	bradcray	chplspell:_skip_over_files_not_under_git_control
4034970230	16782	labeled	2020-11-24T21:53:46Z	bradcray	chplspell:_skip_over_files_not_under_git_control
4034929523	16777	referenced	2020-11-24T21:40:37Z	e-kayrakli	Fix_memleaks-as-failure_infrastrucutre
