EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
2983155311	5290	mentioned	2020-01-27T19:46:36Z	GeoffreyBooth	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2983155307	5290	subscribed	2020-01-27T19:46:36Z	helixbass	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2983155303	5290	mentioned	2020-01-27T19:46:36Z	helixbass	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2983100045	5290	subscribed	2020-01-27T19:29:10Z	GeoffreyBooth	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2983100043	5290	mentioned	2020-01-27T19:29:10Z	GeoffreyBooth	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2983100037	5290	subscribed	2020-01-27T19:29:10Z	helixbass	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2983100035	5290	mentioned	2020-01-27T19:29:10Z	helixbass	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2982716548	5294	head_ref_deleted	2020-01-27T17:30:27Z	helixbass	Improve_performance_of_location_data_compensation
2981607057	5295	labeled	2020-01-27T12:31:53Z	vendethiel	Checkbox_phaser3
2981606846	5295	closed	2020-01-27T12:31:48Z	vendethiel	Checkbox_phaser3
2980704161	5288	locked	2020-01-27T07:10:30Z	ghost	[FEATURE]_Add_const_operator
2980703852	5288	closed	2020-01-27T07:10:20Z	GeoffreyBooth	[FEATURE]_Add_const_operator
2980678769	5290	renamed	2020-01-27T06:55:49Z	GeoffreyBooth	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2980676984	5290	subscribed	2020-01-27T06:54:47Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2980676983	5290	mentioned	2020-01-27T06:54:47Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2980676981	5290	subscribed	2020-01-27T06:54:47Z	helixbass	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2980676980	5290	mentioned	2020-01-27T06:54:47Z	helixbass	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2980664908	5290	labeled	2020-01-27T06:47:11Z	GeoffreyBooth	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2980664650	5290	renamed	2020-01-27T06:47:02Z	GeoffreyBooth	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2980663827	5294	closed	2020-01-27T06:46:29Z	GeoffreyBooth	Improve_performance_of_location_data_compensation
2980663823	5290	closed	2020-01-27T06:46:29Z	GeoffreyBooth	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2980663821	5294	merged	2020-01-27T06:46:29Z	GeoffreyBooth	Improve_performance_of_location_data_compensation
2980663820	5294	referenced	2020-01-27T06:46:29Z	GeoffreyBooth	Improve_performance_of_location_data_compensation
2979584007	5291	subscribed	2020-01-25T22:49:52Z	vendethiel	Bug:_Parser:_soaks/prototype_shorthands_in_object_spreads
2979584006	5291	mentioned	2020-01-25T22:49:52Z	vendethiel	Bug:_Parser:_soaks/prototype_shorthands_in_object_spreads
2978402360	5291	labeled	2020-01-24T19:50:10Z	GeoffreyBooth	Bug:_Parser:_soaks/prototype_shorthands_in_object_spreads
2978402136	5291	renamed	2020-01-24T19:50:05Z	GeoffreyBooth	Bug:_Parser:_soaks/prototype_shorthands_in_object_spreads
2972614343	5290	subscribed	2020-01-23T06:42:01Z	helixbass	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2972614340	5290	mentioned	2020-01-23T06:42:01Z	helixbass	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2972443132	5290	subscribed	2020-01-23T04:54:57Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2972443130	5290	mentioned	2020-01-23T04:54:57Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2972357804	5290	subscribed	2020-01-23T03:42:24Z	helixbass	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2972357802	5290	mentioned	2020-01-23T03:42:24Z	helixbass	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2972283361	5290	subscribed	2020-01-23T02:41:59Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2972283359	5290	mentioned	2020-01-23T02:41:59Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2972178089	5290	subscribed	2020-01-23T01:28:37Z	GeoffreyBooth	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2972178086	5290	mentioned	2020-01-23T01:28:37Z	GeoffreyBooth	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2972160080	5290	subscribed	2020-01-23T01:17:06Z	GeoffreyBooth	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2972160077	5290	mentioned	2020-01-23T01:17:06Z	GeoffreyBooth	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2972123569	5290	subscribed	2020-01-23T00:54:13Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2972123568	5290	mentioned	2020-01-23T00:54:13Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2971998749	5290	subscribed	2020-01-22T23:42:39Z	helixbass	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2971998748	5290	mentioned	2020-01-22T23:42:38Z	helixbass	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2971881482	5290	subscribed	2020-01-22T22:46:20Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2971881477	5290	mentioned	2020-01-22T22:46:20Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2971862947	5290	subscribed	2020-01-22T22:38:35Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2971862944	5290	mentioned	2020-01-22T22:38:35Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2971828749	5290	subscribed	2020-01-22T22:24:42Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2971828746	5290	mentioned	2020-01-22T22:24:42Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2971762590	5290	subscribed	2020-01-22T21:59:14Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2971762587	5290	mentioned	2020-01-22T21:59:14Z	Jorenm	Bug:_2.5.0:_Compilation_of_files_with_Windows_line_endings_very_slow
2961767531	5288	renamed	2020-01-20T06:54:40Z	MegaJSDeveloper	[FEATURE]_Add_const_operator
2955503348	5287	closed	2020-01-16T17:54:12Z	GeoffreyBooth	Fix_typos
2955503341	5287	merged	2020-01-16T17:54:12Z	GeoffreyBooth	Fix_typos
2955503334	5287	referenced	2020-01-16T17:54:12Z	GeoffreyBooth	Fix_typos
2955009311	4796	referenced	2020-01-16T15:35:22Z	danielbayley	[Enhancement]_Elision
2953939950	4796	referenced	2020-01-16T10:12:56Z	danielbayley	[Enhancement]_Elision
2953936581	4796	referenced	2020-01-16T10:12:03Z	danielbayley	[Enhancement]_Elision
2953930716	4796	referenced	2020-01-16T10:10:38Z	danielbayley	[Enhancement]_Elision
2936015413	5018	labeled	2020-01-09T18:37:40Z	GeoffreyBooth	ES_modules_in_Node,_and_.mjs_files
2936015411	5018	labeled	2020-01-09T18:37:40Z	GeoffreyBooth	ES_modules_in_Node,_and_.mjs_files
2936015409	5018	unlabeled	2020-01-09T18:37:40Z	GeoffreyBooth	ES_modules_in_Node,_and_.mjs_files
2936015407	5018	unlabeled	2020-01-09T18:37:40Z	GeoffreyBooth	ES_modules_in_Node,_and_.mjs_files
2936015120	5018	reopened	2020-01-09T18:37:33Z	GeoffreyBooth	ES_modules_in_Node,_and_.mjs_files
2935999474	5018	subscribed	2020-01-09T18:31:50Z	jkrems	ES_modules_in_Node,_and_.mjs_files
2935999472	5018	mentioned	2020-01-09T18:31:50Z	jkrems	ES_modules_in_Node,_and_.mjs_files
2916686895	4984	subscribed	2020-01-01T20:08:08Z	GeoffreyBooth	Proposal:_Ecosystem:_CoffeeScript_in_Prettier
2916686893	4984	mentioned	2020-01-01T20:08:07Z	GeoffreyBooth	Proposal:_Ecosystem:_CoffeeScript_in_Prettier
2916686892	4984	subscribed	2020-01-01T20:08:07Z	helixbass	Proposal:_Ecosystem:_CoffeeScript_in_Prettier
2916686890	4984	mentioned	2020-01-01T20:08:07Z	helixbass	Proposal:_Ecosystem:_CoffeeScript_in_Prettier
2916670714	4984	labeled	2020-01-01T19:27:12Z	GeoffreyBooth	Proposal:_Ecosystem:_CoffeeScript_in_Prettier
2916670712	4984	unlabeled	2020-01-01T19:27:12Z	GeoffreyBooth	Proposal:_Ecosystem:_CoffeeScript_in_Prettier
2916670711	4984	unlabeled	2020-01-01T19:27:12Z	GeoffreyBooth	Proposal:_Ecosystem:_CoffeeScript_in_Prettier
2916647939	4984	subscribed	2020-01-01T18:30:03Z	reubano	Proposal:_Ecosystem:_CoffeeScript_in_Prettier
