EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
4043788395	9948	mentioned	2020-11-26T20:18:45Z	MakeNowJust	[RFC]_Add_diff_algorithm_to_spec_output
4043788391	9948	subscribed	2020-11-26T20:18:45Z	oprypin	[RFC]_Add_diff_algorithm_to_spec_output
4043788387	9948	mentioned	2020-11-26T20:18:45Z	oprypin	[RFC]_Add_diff_algorithm_to_spec_output
4043749755	9955	unlabeled	2020-11-26T19:57:22Z	straight-shoota	Improve_Hash#values_at_docs
4043690250	9955	subscribed	2020-11-26T19:24:05Z	straight-shoota	Improve_Hash#values_at_docs
4043690247	9955	mentioned	2020-11-26T19:24:05Z	straight-shoota	Improve_Hash#values_at_docs
4043658130	9980	head_ref_deleted	2020-11-26T19:06:32Z	asterite	Trying_one_more_time_to_improve_closures...
4043658046	9980	closed	2020-11-26T19:06:29Z	asterite	Trying_one_more_time_to_improve_closures...
4043436377	9979	labeled	2020-11-26T17:24:51Z	straight-shoota	Stdlib_libraries_need_more_logging
4043436375	9979	labeled	2020-11-26T17:24:51Z	straight-shoota	Stdlib_libraries_need_more_logging
4043327600	9978	subscribed	2020-11-26T16:47:40Z	straight-shoota	Native_way_to_validate_crystal_docs_code_examples
4043327594	9978	mentioned	2020-11-26T16:47:40Z	straight-shoota	Native_way_to_validate_crystal_docs_code_examples
4042878111	9978	renamed	2020-11-26T14:50:19Z	j8r	Native_way_to_validate_crystal_docs_code_examples
4042877313	9978	subscribed	2020-11-26T14:50:08Z	maiha	Native_way_to_validate_crystal_docs_code_examples
4042877309	9978	mentioned	2020-11-26T14:50:08Z	maiha	Native_way_to_validate_crystal_docs_code_examples
4042598315	9977	head_ref_deleted	2020-11-26T13:43:22Z	asterite	Trying_one_more_time_to_improve_closures...
4042598030	9977	closed	2020-11-26T13:43:18Z	asterite	Trying_one_more_time_to_improve_closures...
4041873740	9967	closed	2020-11-26T10:32:23Z	jhass	Contribute_a_port_of_the_ruby_standard_module_Find
4041867291	9148	closed	2020-11-26T10:30:52Z	dawidd6	Can't_build/run_with_Homebrew_on_Linux
4041322091	5212	closed	2020-11-26T08:23:51Z	jhass	HTTP:_delete_`Content-Encoding`_and_`Content-Length`_headers_after_decompression
4041322061	5212	merged	2020-11-26T08:23:51Z	jhass	HTTP:_delete_`Content-Encoding`_and_`Content-Length`_headers_after_decompression
4041322056	5212	referenced	2020-11-26T08:23:51Z	jhass	HTTP:_delete_`Content-Encoding`_and_`Content-Length`_headers_after_decompression
4040293178	9974	labeled	2020-11-26T00:35:59Z	straight-shoota	Improve_documentation_for_`Object#to_s`_and_`#inspect`
4040293177	9974	labeled	2020-11-26T00:35:59Z	straight-shoota	Improve_documentation_for_`Object#to_s`_and_`#inspect`
4040292273	9966	referenced	2020-11-26T00:35:30Z	straight-shoota	[RFC]_Specify_`#to_s`_vs_`#inspect`
4040063925	5212	unlabeled	2020-11-25T22:33:42Z	jhass	HTTP:_delete_`Content-Encoding`_and_`Content-Length`_headers_after_decompression
4040063325	5212	unlabeled	2020-11-25T22:33:25Z	jhass	HTTP:_delete_`Content-Encoding`_and_`Content-Length`_headers_after_decompression
4040004894	5212	milestoned	2020-11-25T22:07:16Z	straight-shoota	HTTP:_delete_`Content-Encoding`_and_`Content-Length`_headers_after_decompression
4039999447	5212	head_ref_force_pushed	2020-11-25T22:04:56Z	jhass	HTTP:_delete_`Content-Encoding`_and_`Content-Length`_headers_after_decompression
4039823665	9823	labeled	2020-11-25T20:56:33Z	asterite	X_target_defs_for_method_(Exception)
4039823661	9823	labeled	2020-11-25T20:56:33Z	asterite	X_target_defs_for_method_(Exception)
4039820784	9972	review_requested	2020-11-25T20:55:25Z	asterite	Compiler:_fix_proc_of_self_causing_multidispatch
4039755275	9972	labeled	2020-11-25T20:30:14Z	asterite	Compiler:_fix_proc_of_self_causing_multidispatch
4039755273	9972	labeled	2020-11-25T20:30:14Z	asterite	Compiler:_fix_proc_of_self_causing_multidispatch
4039705671	9970	closed	2020-11-25T20:13:05Z	asterite	Yet_another_segfault_with_proc_variable_capture
4039682508	9971	labeled	2020-11-25T20:05:05Z	asterite	_Don't_merge_proc_types_but_allow_assigning_them_if_they_are_compatible
4039682507	9971	labeled	2020-11-25T20:05:05Z	asterite	_Don't_merge_proc_types_but_allow_assigning_them_if_they_are_compatible
4039662682	9970	labeled	2020-11-25T19:58:35Z	jhass	Yet_another_segfault_with_proc_variable_capture
4039662270	9970	labeled	2020-11-25T19:58:28Z	jhass	Yet_another_segfault_with_proc_variable_capture
4039662268	9970	labeled	2020-11-25T19:58:28Z	jhass	Yet_another_segfault_with_proc_variable_capture
4039608397	9969	labeled	2020-11-25T19:39:52Z	straight-shoota	[RFC]_Make_File.size_return_Int64
4039608396	9969	labeled	2020-11-25T19:39:52Z	straight-shoota	[RFC]_Make_File.size_return_Int64
4039558707	9944	milestoned	2020-11-25T19:23:37Z	asterite	Allow_`Iterator#zip`_to_take_multiple_`Iterator`_arguments
4039558532	9944	closed	2020-11-25T19:23:33Z	asterite	Allow_`Iterator#zip`_to_take_multiple_`Iterator`_arguments
4039558525	9942	closed	2020-11-25T19:23:33Z	asterite	[RFC]_Allow_`Iterator#zip`_to_take_more_than_one_`Iterator`
4039558512	9944	merged	2020-11-25T19:23:33Z	asterite	Allow_`Iterator#zip`_to_take_multiple_`Iterator`_arguments
4039558509	9944	referenced	2020-11-25T19:23:33Z	asterite	Allow_`Iterator#zip`_to_take_multiple_`Iterator`_arguments
4039291327	9968	labeled	2020-11-25T18:03:31Z	straight-shoota	Documentation_inheritance_doesn't_work_when_parent_method_also_has_:inherit:
4039291323	9968	labeled	2020-11-25T18:03:31Z	straight-shoota	Documentation_inheritance_doesn't_work_when_parent_method_also_has_:inherit:
4038876468	9573	labeled	2020-11-25T16:18:57Z	straight-shoota	Make_Errno_enum_values_a_set_union_of_all_possible_LibC_Errno_values
4038876465	9573	labeled	2020-11-25T16:18:57Z	straight-shoota	Make_Errno_enum_values_a_set_union_of_all_possible_LibC_Errno_values
4038876464	9573	labeled	2020-11-25T16:18:57Z	straight-shoota	Make_Errno_enum_values_a_set_union_of_all_possible_LibC_Errno_values
4038876463	9573	labeled	2020-11-25T16:18:57Z	straight-shoota	Make_Errno_enum_values_a_set_union_of_all_possible_LibC_Errno_values
4038872183	9523	labeled	2020-11-25T16:17:58Z	straight-shoota	Refactor_LibC_Errnos_into_separate_Enum_and_add_missing_Error_numbers
4038872181	9523	labeled	2020-11-25T16:17:58Z	straight-shoota	Refactor_LibC_Errnos_into_separate_Enum_and_add_missing_Error_numbers
4038872180	9523	labeled	2020-11-25T16:17:58Z	straight-shoota	Refactor_LibC_Errnos_into_separate_Enum_and_add_missing_Error_numbers
4038872175	9523	labeled	2020-11-25T16:17:58Z	straight-shoota	Refactor_LibC_Errnos_into_separate_Enum_and_add_missing_Error_numbers
4038470190	9641	subscribed	2020-11-25T14:52:21Z	asterite	Don't_mutate_original_params_after_duping
4038470181	9641	mentioned	2020-11-25T14:52:21Z	asterite	Don't_mutate_original_params_after_duping
4038130698	9967	subscribed	2020-11-25T13:39:12Z	j8r	Contribute_a_port_of_the_ruby_standard_module_Find
4038130694	9967	mentioned	2020-11-25T13:39:12Z	j8r	Contribute_a_port_of_the_ruby_standard_module_Find
4038114110	9967	labeled	2020-11-25T13:35:16Z	jhass	Contribute_a_port_of_the_ruby_standard_module_Find
4037942277	9967	labeled	2020-11-25T12:54:31Z	straight-shoota	Contribute_a_port_of_the_ruby_standard_module_Find
4037942274	9967	labeled	2020-11-25T12:54:31Z	straight-shoota	Contribute_a_port_of_the_ruby_standard_module_Find
4037731967	9357	labeled	2020-11-25T11:59:08Z	straight-shoota	Change_Slice#size_to_Int64
4035680909	9966	labeled	2020-11-25T01:52:18Z	straight-shoota	[RFC]_Specify_`#to_s`_vs_`#inspect`
4035680908	9966	labeled	2020-11-25T01:52:18Z	straight-shoota	[RFC]_Specify_`#to_s`_vs_`#inspect`
