EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
4049268213	10565	head_ref_deleted	2020-11-29T18:04:42Z	dotnet-bot	Merge_main_to_release/dev16.9
4049268201	10565	head_ref_restored	2020-11-29T18:04:41Z	dotnet-bot	Merge_main_to_release/dev16.9
4049268141	10475	head_ref_deleted	2020-11-29T18:04:36Z	dotnet-bot	Merge_release/dev16.8_to_main
4049268137	10475	head_ref_restored	2020-11-29T18:04:35Z	dotnet-bot	Merge_release/dev16.8_to_main
4049230163	10565	head_ref_deleted	2020-11-29T17:18:05Z	cartermp	Merge_main_to_release/dev16.9
4049230140	10565	closed	2020-11-29T17:18:03Z	cartermp	Merge_main_to_release/dev16.9
4049230138	10565	merged	2020-11-29T17:18:02Z	cartermp	Merge_main_to_release/dev16.9
4049230136	10565	referenced	2020-11-29T17:18:02Z	cartermp	Merge_main_to_release/dev16.9
4049112312	10475	head_ref_deleted	2020-11-29T15:04:16Z	dotnet-bot	Merge_release/dev16.8_to_main
4049112300	10475	head_ref_restored	2020-11-29T15:04:15Z	dotnet-bot	Merge_release/dev16.8_to_main
4048961794	10475	head_ref_deleted	2020-11-29T12:05:39Z	dotnet-bot	Merge_release/dev16.8_to_main
4048961764	10475	head_ref_restored	2020-11-29T12:05:38Z	dotnet-bot	Merge_release/dev16.8_to_main
4048837423	10565	labeled	2020-11-29T09:04:39Z	dotnet-bot	Merge_main_to_release/dev16.9
4048837420	10565	labeled	2020-11-29T09:04:39Z	dotnet-bot	Merge_main_to_release/dev16.9
4048837345	10475	head_ref_deleted	2020-11-29T09:04:31Z	dotnet-bot	Merge_release/dev16.8_to_main
4048837338	10475	head_ref_restored	2020-11-29T09:04:30Z	dotnet-bot	Merge_release/dev16.8_to_main
4048754340	10564	milestoned	2020-11-29T06:37:15Z	cartermp	Show_overload_candidates_when_passing_wrong_parameter_names_or_types
4048754324	10564	labeled	2020-11-29T06:37:13Z	cartermp	Show_overload_candidates_when_passing_wrong_parameter_names_or_types
4048753971	10559	closed	2020-11-29T06:36:34Z	cartermp	Add_field_names_to_the_ILExceptionClause.FilterCatch_constructor.
4048753969	10559	merged	2020-11-29T06:36:34Z	cartermp	Add_field_names_to_the_ILExceptionClause.FilterCatch_constructor.
4048753968	10559	referenced	2020-11-29T06:36:34Z	cartermp	Add_field_names_to_the_ILExceptionClause.FilterCatch_constructor.
4048739383	10563	head_ref_deleted	2020-11-29T06:07:13Z	dotnet-bot	Merge_main_to_release/dev16.9
4048739352	10475	head_ref_deleted	2020-11-29T06:07:07Z	dotnet-bot	Merge_release/dev16.8_to_main
4048739347	10475	head_ref_restored	2020-11-29T06:07:06Z	dotnet-bot	Merge_release/dev16.8_to_main
4048675778	10563	closed	2020-11-29T03:48:29Z	KevinRansom	Merge_main_to_release/dev16.9
4048675776	10563	merged	2020-11-29T03:48:29Z	KevinRansom	Merge_main_to_release/dev16.9
4048675775	10563	referenced	2020-11-29T03:48:29Z	KevinRansom	Merge_main_to_release/dev16.9
4048673491	10564	renamed	2020-11-29T03:42:25Z	smoothdeveloper	Show_overload_candidates_when_passing_wrong_parameter_names_or_types
4048668010	10564	labeled	2020-11-29T03:30:34Z	smoothdeveloper	Show_overload_candidates_when_passing_wrong_parameter_names_or_types
4048667498	6578	closed	2020-11-29T03:29:24Z	smoothdeveloper	VS_tooltip_display_too_verbose_when_calling_overloaded_method_with_wrong_parameter_types
4048640977	10563	labeled	2020-11-29T03:04:29Z	dotnet-bot	Merge_main_to_release/dev16.9
4048640976	10563	labeled	2020-11-29T03:04:29Z	dotnet-bot	Merge_main_to_release/dev16.9
4048640927	10475	head_ref_deleted	2020-11-29T03:04:21Z	dotnet-bot	Merge_release/dev16.8_to_main
4048640925	10475	head_ref_restored	2020-11-29T03:04:20Z	dotnet-bot	Merge_release/dev16.8_to_main
4048624930	10562	closed	2020-11-29T02:26:05Z	cartermp	fix_broken_link
4048624929	10562	merged	2020-11-29T02:26:05Z	cartermp	fix_broken_link
4048624928	10562	referenced	2020-11-29T02:26:05Z	cartermp	fix_broken_link
4048604896	10559	renamed	2020-11-29T01:43:40Z	ScottHutchinson	Add_field_names_to_the_ILExceptionClause.FilterCatch_constructor.
4048571697	10561	closed	2020-11-29T00:38:39Z	ebresafegaga	fix_typo_in_a_link
4048566284	10560	closed	2020-11-29T00:28:50Z	cartermp	Merge_main_to_release/dev16.9
4048566280	10560	merged	2020-11-29T00:28:50Z	cartermp	Merge_main_to_release/dev16.9
4048566279	10560	referenced	2020-11-29T00:28:50Z	cartermp	Merge_main_to_release/dev16.9
4048552831	10560	labeled	2020-11-29T00:05:21Z	dotnet-bot	Merge_main_to_release/dev16.9
4048552830	10560	labeled	2020-11-29T00:05:21Z	dotnet-bot	Merge_main_to_release/dev16.9
4048552733	10475	head_ref_deleted	2020-11-29T00:05:13Z	dotnet-bot	Merge_release/dev16.8_to_main
