EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
4049022534	79533	labeled	2020-11-29T13:20:50Z	jyn514	Add_long_explanation_of_E0546
4049002955	77611	head_ref_force_pushed	2020-11-29T12:58:22Z	oli-obk	Directly_use_raw_pointers_in_`AtomicPtr`_store/load
4048993363	79502	subscribed	2020-11-29T12:46:25Z	m-ou-se	Implement_From<char>_for_u64_and_u128.
4048993362	79502	mentioned	2020-11-29T12:46:25Z	m-ou-se	Implement_From<char>_for_u64_and_u128.
4048990868	79516	head_ref_deleted	2020-11-29T12:43:43Z	jyn514	Remove_unnecessary_`mut`_binding
4048976476	79502	subscribed	2020-11-29T12:24:53Z	withoutboats	Implement_From<char>_for_u64_and_u128.
4048976475	79502	mentioned	2020-11-29T12:24:53Z	withoutboats	Implement_From<char>_for_u64_and_u128.
4048976474	79502	subscribed	2020-11-29T12:24:53Z	m-ou-se	Implement_From<char>_for_u64_and_u128.
4048976473	79502	mentioned	2020-11-29T12:24:52Z	m-ou-se	Implement_From<char>_for_u64_and_u128.
4048976375	79533	labeled	2020-11-29T12:24:44Z	bors	Add_long_explanation_of_E0546
4048976374	79533	unlabeled	2020-11-29T12:24:44Z	bors	Add_long_explanation_of_E0546
4048976351	79533	subscribed	2020-11-29T12:24:42Z	bors	Add_long_explanation_of_E0546
4048976348	79533	mentioned	2020-11-29T12:24:42Z	bors	Add_long_explanation_of_E0546
4048966762	79534	renamed	2020-11-29T12:12:20Z	cpetig	Internal_error_when_compiling_updated_dependencies_(crate_ring,_hir/map/collector.rs:227)
4048966668	79534	closed	2020-11-29T12:12:10Z	Stupremee	Internal_error_when_compiling_updated_dependencies_(crate_ring,_hir/map/collector.rs:227)
4048963258	79534	labeled	2020-11-29T12:07:36Z	cpetig	Internal_error_when_compiling_updated_dependencies_(crate_ring,_hir/map/collector.rs:227)
4048963257	79534	labeled	2020-11-29T12:07:36Z	cpetig	Internal_error_when_compiling_updated_dependencies_(crate_ring,_hir/map/collector.rs:227)
4048963256	79534	labeled	2020-11-29T12:07:36Z	cpetig	Internal_error_when_compiling_updated_dependencies_(crate_ring,_hir/map/collector.rs:227)
4048952344	79515	labeled	2020-11-29T11:53:06Z	bors	Rollup_of_5_pull_requests
4048952343	79515	unlabeled	2020-11-29T11:53:06Z	bors	Rollup_of_5_pull_requests
4048952333	79515	subscribed	2020-11-29T11:53:05Z	bors	Rollup_of_5_pull_requests
4048952332	79515	mentioned	2020-11-29T11:53:05Z	bors	Rollup_of_5_pull_requests
4048951565	79533	labeled	2020-11-29T11:52:09Z	rust-highfive	Add_long_explanation_of_E0546
4048951550	79533	subscribed	2020-11-29T11:52:09Z	petrochenkov	Add_long_explanation_of_E0546
4048951549	79533	mentioned	2020-11-29T11:52:09Z	petrochenkov	Add_long_explanation_of_E0546
4048951529	79533	subscribed	2020-11-29T11:52:08Z	GuillaumeGomez	Add_long_explanation_of_E0546
4048951524	79533	mentioned	2020-11-29T11:52:08Z	GuillaumeGomez	Add_long_explanation_of_E0546
4048951514	79533	assigned	2020-11-29T11:52:07Z	petrochenkov	Add_long_explanation_of_E0546
4048940533	77467	referenced	2020-11-29T11:37:49Z	bors	Normalize_`<X_as_Y>::T`_for_rustdoc
4048940532	7	referenced	2020-11-29T11:37:49Z	bors	implement_'break'_and_'cont'_statements.
4048940531	6	referenced	2020-11-29T11:37:49Z	bors	_implement_lambda_blocks
4048940530	5	referenced	2020-11-29T11:37:49Z	bors	_GC_control_word_for_mutable_closures
4048940528	4	referenced	2020-11-29T11:37:49Z	bors	_add_an_IL_type_checker
4048940527	3	referenced	2020-11-29T11:37:49Z	bors	_abstract_common_patterns_in_AST_formatters
4048940524	2	referenced	2020-11-29T11:37:49Z	bors	_bind's_glue_function_should_tail-call_its_target__
4048940523	1	referenced	2020-11-29T11:37:49Z	bors	Thread_a_session_or_semantic_context_through_IL
4048940522	77616	referenced	2020-11-29T11:37:49Z	bors	Don't_run_`resolve_vars_if_possible`_in_`normalize_erasing_regions`
4048940491	78863	milestoned	2020-11-29T11:37:45Z	rustbot	Support_repr(simd)_on_ADTs_containing_a_single_array_field
4048940445	78863	closed	2020-11-29T11:37:42Z	bors	Support_repr(simd)_on_ADTs_containing_a_single_array_field
4048940443	78863	merged	2020-11-29T11:37:42Z	bors	Support_repr(simd)_on_ADTs_containing_a_single_array_field
4048940399	78863	labeled	2020-11-29T11:37:37Z	bors	Support_repr(simd)_on_ADTs_containing_a_single_array_field
4048908468	79376	convert_to_draft	2020-11-29T10:53:08Z	ssomers	BTreeMap:_make_choose_parent_kv_more_robust_&_related_tweaks
4048901874	78935	labeled	2020-11-29T10:43:23Z	bors	or-patterns:_enable_:pat_to_match_top_pat
4048901873	78935	unlabeled	2020-11-29T10:43:23Z	bors	or-patterns:_enable_:pat_to_match_top_pat
4048899196	78122	head_ref_force_pushed	2020-11-29T10:39:12Z	m-ou-se	Avoid_panic_bounds_check_in_fmt::write.
4048894022	79511	head_ref_deleted	2020-11-29T10:31:11Z	cjgillot	Do_not_visit_ForeignItemRef_for_HIR_indexing_and_validation.
4048890465	75752	subscribed	2020-11-29T10:25:53Z	jakoschiko	libtest:_Print_the_total_time_taken_to_execute_a_test_suite
4048890464	75752	mentioned	2020-11-29T10:25:53Z	jakoschiko	libtest:_Print_the_total_time_taken_to_execute_a_test_suite
4048889141	79502	subscribed	2020-11-29T10:23:50Z	scottmcm	Implement_From<char>_for_u64_and_u128.
4048889140	79502	mentioned	2020-11-29T10:23:50Z	scottmcm	Implement_From<char>_for_u64_and_u128.
4048883474	78935	labeled	2020-11-29T10:15:17Z	petrochenkov	or-patterns:_enable_:pat_to_match_top_pat
4048883473	78935	unlabeled	2020-11-29T10:15:16Z	petrochenkov	or-patterns:_enable_:pat_to_match_top_pat
4048883272	54883	referenced	2020-11-29T10:15:00Z	bors	Tracking_issue_for_RFC_2535,_2530,_2175,_"Or_patterns,_i.e_`Foo(Bar(x)_|_Baz(x))`"
