EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
4048515384	8726	referenced	2020-11-28T23:00:20Z	andyczerwonka	Optimize_immutable.HashMap_builder_(inspired_by_the_2.13_implementation)
4048119347	9039	head_ref_force_pushed	2020-11-28T14:28:15Z	diesalbla	Mutable_Symbol_Substitution_maps
4048035726	9343	ready_for_review	2020-11-28T12:27:12Z	martijnhoekstra	irrefutable_name-based_extractors
4048035347	9343	head_ref_force_pushed	2020-11-28T12:26:37Z	martijnhoekstra	irrefutable_name-based_extractors
4048034304	9343	head_ref_force_pushed	2020-11-28T12:25:07Z	martijnhoekstra	irrefutable_name-based_extractors
4047979894	9343	head_ref_force_pushed	2020-11-28T11:07:03Z	martijnhoekstra	irrefutable_name-based_extractors
4047955242	9343	head_ref_force_pushed	2020-11-28T10:30:34Z	martijnhoekstra	irrefutable_name-based_extractors
4047809891	9343	head_ref_force_pushed	2020-11-28T09:10:13Z	martijnhoekstra	irrefutable_name-based_extractors
4047806694	9343	head_ref_force_pushed	2020-11-28T09:04:45Z	martijnhoekstra	irrefutable_name-based_extractors
4047221690	9349	subscribed	2020-11-27T20:20:21Z	lrytz	Use_Any_==_to_compare_case_class_elements
4047221689	9349	mentioned	2020-11-27T20:20:21Z	lrytz	Use_Any_==_to_compare_case_class_elements
4047077284	9317	demilestoned	2020-11-27T18:54:15Z	SethTisue	Fix_compiler_crosstalk_w/_an_empty_package_reset
4047018070	9344	head_ref_force_pushed	2020-11-27T18:21:27Z	som-snytt	Java_Map_wrapper_respects_put/remove_contract
4046411675	9349	head_ref_deleted	2020-11-27T14:43:38Z	som-snytt	Use_Any_==_to_compare_case_class_elements
4046316637	9343	head_ref_force_pushed	2020-11-27T14:18:02Z	martijnhoekstra	irrefutable_name-based_extractors
4046278301	9343	head_ref_force_pushed	2020-11-27T14:07:10Z	martijnhoekstra	irrefutable_name-based_extractors
4046255337	9343	head_ref_force_pushed	2020-11-27T14:00:39Z	martijnhoekstra	irrefutable_name-based_extractors
4046098303	9343	head_ref_force_pushed	2020-11-27T13:15:49Z	martijnhoekstra	irrefutable_name-based_extractors
4045206164	9349	closed	2020-11-27T09:05:34Z	lrytz	Use_Any_==_to_compare_case_class_elements
4045206138	9349	merged	2020-11-27T09:05:34Z	lrytz	Use_Any_==_to_compare_case_class_elements
4045206136	9349	referenced	2020-11-27T09:05:34Z	lrytz	Use_Any_==_to_compare_case_class_elements
4045083244	9140	referenced	2020-11-27T08:30:28Z	xuwei-k	Check_exhaustivity_of_pattern_matches_with_"if"_guards_and_custom_extractors_(by_default)_and_of_unsealed_types_(by_opt-in).
4045061136	9140	referenced	2020-11-27T08:23:26Z	xuwei-k	Check_exhaustivity_of_pattern_matches_with_"if"_guards_and_custom_extractors_(by_default)_and_of_unsealed_types_(by_opt-in).
4044942634	9140	referenced	2020-11-27T07:44:14Z	xuwei-k	Check_exhaustivity_of_pattern_matches_with_"if"_guards_and_custom_extractors_(by_default)_and_of_unsealed_types_(by_opt-in).
4044938445	9344	subscribed	2020-11-27T07:42:36Z	NthPortal	Java_Map_wrapper_respects_put/remove_contract
4044938442	9344	mentioned	2020-11-27T07:42:36Z	NthPortal	Java_Map_wrapper_respects_put/remove_contract
4044211843	9349	milestoned	2020-11-27T01:37:25Z	scala-jenkins	Use_Any_==_to_compare_case_class_elements
4044006768	9347	subscribed	2020-11-26T22:41:12Z	dwijnand	further_speed_up_Travis-CI_PR_validation
4044006767	9347	mentioned	2020-11-26T22:41:12Z	dwijnand	further_speed_up_Travis-CI_PR_validation
4043916431	9348	head_ref_deleted	2020-11-26T21:36:24Z	NthPortal	Enable_-Werror_for_even_more_modules_(particularly_junit)
4043574356	9348	closed	2020-11-26T18:22:46Z	SethTisue	Enable_-Werror_for_even_more_modules_(particularly_junit)
4043574338	9348	merged	2020-11-26T18:22:46Z	SethTisue	Enable_-Werror_for_even_more_modules_(particularly_junit)
