EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
4049333691	7021	closed	2020-11-29T19:23:37Z	spytheman	all:_fix_remaining_c_warnings_and_add_-Werror_to_CI
4049333689	7021	merged	2020-11-29T19:23:37Z	spytheman	all:_fix_remaining_c_warnings_and_add_-Werror_to_CI
4049333686	7021	referenced	2020-11-29T19:23:37Z	spytheman	all:_fix_remaining_c_warnings_and_add_-Werror_to_CI
4049303227	7023	head_ref_deleted	2020-11-29T18:47:51Z	spaceface777	compiler:_fix_self_compilation_with_cached_modules_on_macOS
4049289236	7023	closed	2020-11-29T18:30:35Z	medvednikov	compiler:_fix_self_compilation_with_cached_modules_on_macOS
4049289231	7023	merged	2020-11-29T18:30:35Z	medvednikov	compiler:_fix_self_compilation_with_cached_modules_on_macOS
4049289229	7023	referenced	2020-11-29T18:30:35Z	medvednikov	compiler:_fix_self_compilation_with_cached_modules_on_macOS
4049284943	6988	moved_columns_in_project	2020-11-29T18:25:01Z	spytheman	Make_v_self_compilation_work_with_cached_modules
4049282563	6988	moved_columns_in_project	2020-11-29T18:22:15Z	spytheman	Make_v_self_compilation_work_with_cached_modules
4049257967	6260	unassigned	2020-11-29T17:52:12Z	serkonda7	Run_spell_checker_on_the_documentation
4049228352	7022	labeled	2020-11-29T17:15:59Z	despiegk	toml_or_yaml_support
4049202243	7020	closed	2020-11-29T16:45:43Z	medvednikov	cjson_encoding_issue,_but_not_consistent
4049202002	7019	convert_to_draft	2020-11-29T16:45:28Z	Delta456	parser:_give_a_separate_error_for_invalid_string_prefix_and_more
4049191770	7003	head_ref_force_pushed	2020-11-29T16:33:35Z	div72	sync:_add_Mutex.try_lock
4049187320	6213	reopened	2020-11-29T16:29:09Z	ntrel	table:_Make_`size_t`_an_internal_alias_for_u32_or_u64;_add_`isize`,_`usize`
4049187271	6213	closed	2020-11-29T16:29:06Z	ntrel	table:_Make_`size_t`_an_internal_alias_for_u32_or_u64;_add_`isize`,_`usize`
4049171983	6213	head_ref_force_pushed	2020-11-29T16:12:08Z	ntrel	table:_Make_`size_t`_an_internal_alias_for_u32_or_u64;_add_`isize`,_`usize`
4049171974	6139	referenced	2020-11-29T16:12:08Z	ntrel	size_t_lacks_basic_functionality
4049166176	7020	renamed	2020-11-29T16:05:34Z	despiegk	cjson_encoding_issue,_but_not_consistent
4049165975	7020	labeled	2020-11-29T16:05:19Z	despiegk	cjson_encoding_issue,_but_not_consistent
4049153232	7019	unlocked	2020-11-29T15:50:15Z	vlang	parser:_give_a_separate_error_for_invalid_string_prefix_and_more
4049153154	7019	locked	2020-11-29T15:50:10Z	vlang	parser:_give_a_separate_error_for_invalid_string_prefix_and_more
4049149275	7013	head_ref_deleted	2020-11-29T15:45:57Z	ntrel	help:_list_-showcc,_-w_options
4049149058	7011	head_ref_deleted	2020-11-29T15:45:43Z	ntrel	pref:_add_-m32,_-m64_command-line_options
4049124877	6598	closed	2020-11-29T15:18:50Z	medvednikov	compiler:_use_thirdparty/tcc/tcc.exe_by_default,_when_no_explicit_-cc_is_given
4049124875	6598	merged	2020-11-29T15:18:50Z	medvednikov	compiler:_use_thirdparty/tcc/tcc.exe_by_default,_when_no_explicit_-cc_is_given
4049124873	6598	referenced	2020-11-29T15:18:49Z	medvednikov	compiler:_use_thirdparty/tcc/tcc.exe_by_default,_when_no_explicit_-cc_is_given
4049109938	6849	referenced	2020-11-29T15:01:42Z	spytheman	c_error:_incomplete_universal_character_name_\u
4049109918	7012	closed	2020-11-29T15:01:41Z	spytheman	scanner:_fix_escape_`\u`_(fix_#6849)
4049109907	6849	closed	2020-11-29T15:01:41Z	spytheman	c_error:_incomplete_universal_character_name_\u
4049109905	7012	merged	2020-11-29T15:01:40Z	spytheman	scanner:_fix_escape_`\u`_(fix_#6849)
4049109904	7012	referenced	2020-11-29T15:01:40Z	spytheman	scanner:_fix_escape_`\u`_(fix_#6849)
4049092268	6598	head_ref_force_pushed	2020-11-29T14:41:48Z	spytheman	compiler:_use_thirdparty/tcc/tcc.exe_by_default,_when_no_explicit_-cc_is_given
4049070070	7015	subscribed	2020-11-29T14:15:22Z	JalonSolov	v:_-usecache_fixes_and_self_compilation_&_some_type_cname_optimisation
4049070068	7015	mentioned	2020-11-29T14:15:22Z	JalonSolov	v:_-usecache_fixes_and_self_compilation_&_some_type_cname_optimisation
4049065766	7012	subscribed	2020-11-29T14:10:29Z	JalonSolov	scanner:_fix_escape_`\u`_(fix_#6849)
4049065764	7012	mentioned	2020-11-29T14:10:29Z	JalonSolov	scanner:_fix_escape_`\u`_(fix_#6849)
4049056657	7018	labeled	2020-11-29T13:59:27Z	danieldaeschle	str_generation_is_too_complex
4049056656	7018	labeled	2020-11-29T13:59:27Z	danieldaeschle	str_generation_is_too_complex
4049056412	6641	closed	2020-11-29T13:59:09Z	yuyi98	Assigning_an_empty_function_definition_to_a_const_results_in_C_error
4049054077	7017	labeled	2020-11-29T13:56:14Z	Ekopalypse	builder_error_-_C_error:_too_many_arguments_to_function
4049052837	6933	closed	2020-11-29T13:54:46Z	medvednikov	json2:_decode_fn_returns_`?T`;_add_new_tests
4049052835	6933	merged	2020-11-29T13:54:46Z	medvednikov	json2:_decode_fn_returns_`?T`;_add_new_tests
4049052834	6933	referenced	2020-11-29T13:54:45Z	medvednikov	json2:_decode_fn_returns_`?T`;_add_new_tests
4049052007	7011	closed	2020-11-29T13:53:50Z	medvednikov	pref:_add_-m32,_-m64_command-line_options
4049052003	7011	merged	2020-11-29T13:53:50Z	medvednikov	pref:_add_-m32,_-m64_command-line_options
4049052002	7011	referenced	2020-11-29T13:53:50Z	medvednikov	pref:_add_-m32,_-m64_command-line_options
4049015436	7016	labeled	2020-11-29T13:12:30Z	despiegk	builder_error:_C_error._This_should_never_happen.
4049014308	7013	closed	2020-11-29T13:11:13Z	medvednikov	help:_list_-showcc,_-w_options
4049014305	7013	merged	2020-11-29T13:11:13Z	medvednikov	help:_list_-showcc,_-w_options
4049014303	7013	referenced	2020-11-29T13:11:13Z	medvednikov	help:_list_-showcc,_-w_options
4049013911	7015	closed	2020-11-29T13:10:46Z	medvednikov	v:_-usecache_fixes_and_self_compilation_&_some_type_cname_optimisation
4049013907	7015	merged	2020-11-29T13:10:46Z	medvednikov	v:_-usecache_fixes_and_self_compilation_&_some_type_cname_optimisation
4049013906	7015	referenced	2020-11-29T13:10:46Z	medvednikov	v:_-usecache_fixes_and_self_compilation_&_some_type_cname_optimisation
4048990648	6905	subscribed	2020-11-29T12:43:31Z	ntrel	Returning_non-reference_on_function_with_return_reference-type_results_in_C_error
4048990647	6905	mentioned	2020-11-29T12:43:31Z	ntrel	Returning_non-reference_on_function_with_return_reference-type_results_in_C_error
4048990646	6905	subscribed	2020-11-29T12:43:31Z	medvednikov	Returning_non-reference_on_function_with_return_reference-type_results_in_C_error
4048990645	6905	mentioned	2020-11-29T12:43:31Z	medvednikov	Returning_non-reference_on_function_with_return_reference-type_results_in_C_error
4048982702	7014	renamed	2020-11-29T12:33:06Z	danieldaeschle	Proposal_for_custom_attributes
4048981309	7015	renamed	2020-11-29T12:31:31Z	joe-conigliaro	v:_-usecache_fixes_and_self_compilation_&_some_type_cname_optimisation
4048980441	7014	labeled	2020-11-29T12:30:16Z	danieldaeschle	Proposal_for_custom_attributes
4048968393	7004	review_requested	2020-11-29T12:14:13Z	danieldaeschle	gen:_initial_option_auto_str_support
4048942774	7007	closed	2020-11-29T11:40:44Z	medvednikov	Problems_with_string.right()
4048890607	6213	convert_to_draft	2020-11-29T10:26:05Z	ntrel	table:_Make_`size_t`_an_internal_alias_for_u32_or_u64;_add_`isize`,_`usize`
4048882951	7010	labeled	2020-11-29T10:14:28Z	Delta456	Many_parser_errors_and_warnings_do_not_show_a_source_position
4048879465	7010	labeled	2020-11-29T10:08:55Z	ntrel	Many_parser_errors_and_warnings_do_not_show_a_source_position
4048879329	7010	labeled	2020-11-29T10:08:41Z	ntrel	Many_parser_errors_and_warnings_do_not_show_a_source_position
4048831681	6997	head_ref_deleted	2020-11-29T08:55:52Z	ntrel	parser:_fix_showing_error_position_for_pratt.v
4048824520	7009	head_ref_deleted	2020-11-29T08:42:33Z	Delta456	fmt:_add_formatting_for_cstrs
4048822801	7009	closed	2020-11-29T08:39:51Z	spytheman	fmt:_add_formatting_for_cstrs
4048822799	7009	merged	2020-11-29T08:39:51Z	spytheman	fmt:_add_formatting_for_cstrs
4048822798	7009	referenced	2020-11-29T08:39:51Z	spytheman	fmt:_add_formatting_for_cstrs
4048821739	7006	closed	2020-11-29T08:38:15Z	spytheman	Improve_parse_iso8601
4048821737	7006	merged	2020-11-29T08:38:14Z	spytheman	Improve_parse_iso8601
4048821736	7006	referenced	2020-11-29T08:38:14Z	spytheman	Improve_parse_iso8601
4048815459	7004	subscribed	2020-11-29T08:28:03Z	Delta456	gen:_initial_option_auto_str_support
4048815458	7004	mentioned	2020-11-29T08:28:03Z	Delta456	gen:_initial_option_auto_str_support
4048803990	5668	closed	2020-11-29T08:08:56Z	Delta456	C_errors_with_sum_type_`string_|_int`_literal_Abc(1)
4048751845	6979	closed	2020-11-29T06:32:04Z	spytheman	term.ui:_document_functions
4048751843	6979	merged	2020-11-29T06:32:04Z	spytheman	term.ui:_document_functions
4048751842	6979	referenced	2020-11-29T06:32:04Z	spytheman	term.ui:_document_functions
4048740374	7006	review_requested	2020-11-29T06:09:16Z	Delta456	Improve_parse_iso8601
4048693824	6994	head_ref_deleted	2020-11-29T04:28:57Z	yuyi98	scanner:_fix_error_of_escape_x_in_ident_string(fix_#6850)
4048617407	7007	subscribed	2020-11-29T02:09:08Z	HugoFlorentino	Problems_with_string.right()
4048617406	7007	mentioned	2020-11-29T02:09:08Z	HugoFlorentino	Problems_with_string.right()
4048616811	7007	renamed	2020-11-29T02:07:39Z	nedpals	Problems_with_string.right()
4048602878	6933	renamed	2020-11-29T01:39:48Z	nedpals	json2:_decode_fn_returns_`?T`;_add_new_tests
4048594374	6984	moved_columns_in_project	2020-11-29T01:23:33Z	leahlundqvist	Automate_release_deployment_via_GitHub_actions
4048590340	7005	closed	2020-11-29T01:16:12Z	medvednikov	ci:_automated_builds_when_pushing_"weekly.*"_tags
