EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
523264648	482	closed	2016-01-22T18:34:47Z	wersimmon	Update_modes_to_match_Ace_1.2.0
516444306	481	labeled	2016-01-15T18:08:13Z	thomaswilburn	Make_goto_symbol_fuzzy_search
510486283	480	closed	2016-01-10T15:47:55Z	thomaswilburn	Locale_setting
503456267	479	closed	2015-12-31T16:36:10Z	thomaswilburn	Added_phtml_files_to_use_PHP_syntax_highlighting
503456266	479	merged	2015-12-31T16:36:10Z	thomaswilburn	Added_phtml_files_to_use_PHP_syntax_highlighting
503456265	479	referenced	2015-12-31T16:36:10Z	thomaswilburn	Added_phtml_files_to_use_PHP_syntax_highlighting
500984628	478	closed	2015-12-27T20:11:00Z	thomaswilburn	Adding_support_for_extension-less_shell_scripts_with_shebangs
499617981	477	closed	2015-12-23T17:30:39Z	akash-vartak	Not_starting
499617860	477	subscribed	2015-12-23T17:30:30Z	thomaswilburn	Not_starting
499617859	477	mentioned	2015-12-23T17:30:30Z	thomaswilburn	Not_starting
494252986	476	labeled	2015-12-17T03:10:58Z	thomaswilburn	:w_doesn't_seem_to_work_with_Vim_emulation_on
494252933	476	closed	2015-12-17T03:10:51Z	thomaswilburn	:w_doesn't_seem_to_work_with_Vim_emulation_on
478632630	475	closed	2015-12-01T07:29:55Z	thomaswilburn	CSS_style_sheet
472311886	474	labeled	2015-11-23T17:23:16Z	thomaswilburn	Native_messaging_support
465754581	473	closed	2015-11-16T18:14:30Z	thomaswilburn	new_menus
464327438	468	labeled	2015-11-14T05:13:43Z	thomaswilburn	Automated_tests,_finally
464327405	467	labeled	2015-11-14T05:13:38Z	thomaswilburn	Add_syntax_highlighting_for_search_results_like_Sublime_does
461829995	472	closed	2015-11-11T22:20:44Z	thomaswilburn	Edit_syntax_highlighting/file_type_associations
461827277	471	closed	2015-11-11T22:17:33Z	thomaswilburn	Allow_side-by-side_editing
458041331	470	referenced	2015-11-08T01:55:32Z	thomaswilburn	Project_Wide_Search_searches_executable_files
457755320	470	closed	2015-11-07T07:05:09Z	thomaswilburn	Project_Wide_Search_searches_executable_files
457672108	470	reopened	2015-11-07T03:57:49Z	thomaswilburn	Project_Wide_Search_searches_executable_files
457656154	470	closed	2015-11-07T03:22:19Z	thomaswilburn	Project_Wide_Search_searches_executable_files
457541710	470	subscribed	2015-11-06T23:36:11Z	TheThirdOne	Project_Wide_Search_searches_executable_files
457541709	470	mentioned	2015-11-06T23:36:11Z	TheThirdOne	Project_Wide_Search_searches_executable_files
457541384	470	subscribed	2015-11-06T23:35:43Z	thomaswilburn	Project_Wide_Search_searches_executable_files
457541383	470	mentioned	2015-11-06T23:35:43Z	thomaswilburn	Project_Wide_Search_searches_executable_files
