EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
3193480799	3858	milestoned	2020-04-02T18:26:04Z	th3coop	SQL/mySQL_syntax_highlighting_treats_comments_beginning_with_hash_mark_(#)_as_normal_code
3190022626	337	closed	2020-04-01T23:24:50Z	th3coop	Modyfing_a_file_deletes_alternate_data_streams_
3190022458	337	referenced	2020-04-01T23:24:44Z	th3coop	Modyfing_a_file_deletes_alternate_data_streams_
3189994648	337	referenced	2020-04-01T23:11:03Z	th3coop	Modyfing_a_file_deletes_alternate_data_streams_
3164845722	3856	subscribed	2020-03-25T16:48:50Z	th3coop	Error_attempting_to_save_[file_name]:_Bad_file_descriptor
3164845717	3856	mentioned	2020-03-25T16:48:50Z	th3coop	Error_attempting_to_save_[file_name]:_Bad_file_descriptor
3164845707	3856	closed	2020-03-25T16:48:50Z	DarthGaymer	Error_attempting_to_save_[file_name]:_Bad_file_descriptor
3161969604	3856	subscribed	2020-03-24T23:53:56Z	DarthGaymer	Error_attempting_to_save_[file_name]:_Bad_file_descriptor
3161969601	3856	mentioned	2020-03-24T23:53:56Z	DarthGaymer	Error_attempting_to_save_[file_name]:_Bad_file_descriptor
3156445319	3856	subscribed	2020-03-23T18:07:47Z	DarthGaymer	Error_attempting_to_save_[file_name]:_Bad_file_descriptor
3156445310	3856	mentioned	2020-03-23T18:07:47Z	DarthGaymer	Error_attempting_to_save_[file_name]:_Bad_file_descriptor
3155080204	3856	subscribed	2020-03-23T12:54:16Z	th3coop	Error_attempting_to_save_[file_name]:_Bad_file_descriptor
3155080200	3856	mentioned	2020-03-23T12:54:16Z	th3coop	Error_attempting_to_save_[file_name]:_Bad_file_descriptor
3151891611	3857	renamed	2020-03-21T16:44:08Z	PeterMortensen	Keyboard_shortcuts_for_quick_bookmark_"7"_and_quick_bookmark_"0"_conflict_with_other_functions
3151891448	3857	renamed	2020-03-21T16:43:54Z	PeterMortensen	Keyboard_shortcuts_for_quick_bookmark_"7"_and_quick_bookmark_"0"_conflict_with_other_functions
3151170110	3856	subscribed	2020-03-20T23:14:06Z	DarthGaymer	Error_attempting_to_save_[file_name]:_Bad_file_descriptor
3151170107	3856	mentioned	2020-03-20T23:14:06Z	DarthGaymer	Error_attempting_to_save_[file_name]:_Bad_file_descriptor
3119685038	3854	labeled	2020-03-11T16:54:26Z	th3coop	Packages_manager_is_missing_option_to_disable_addon
3102344600	1536	comment_deleted	2020-03-05T18:15:03Z	Komodo	Change_in_File_Position_status_indicator_resizes_file_edit_pane
3090135708	3843	subscribed	2020-03-02T23:59:51Z	babobski	CSS_files_(including_less_or_scss)_are_not_showing_there_auto_completions
3090135704	3843	mentioned	2020-03-02T23:59:51Z	babobski	CSS_files_(including_less_or_scss)_are_not_showing_there_auto_completions
3089045653	3843	subscribed	2020-03-02T18:04:14Z	th3coop	CSS_files_(including_less_or_scss)_are_not_showing_there_auto_completions
3089045649	3843	mentioned	2020-03-02T18:04:14Z	th3coop	CSS_files_(including_less_or_scss)_are_not_showing_there_auto_completions
3083986622	3853	labeled	2020-02-29T00:50:19Z	th3coop	ko/ui/radiogroup_doesn't_accept_lists_of_strings_like_a_menu_can
3076451229	3843	subscribed	2020-02-27T05:30:01Z	th3coop	CSS_files_(including_less_or_scss)_are_not_showing_there_auto_completions
3076451227	3843	mentioned	2020-02-27T05:30:01Z	th3coop	CSS_files_(including_less_or_scss)_are_not_showing_there_auto_completions
3076445284	3844	closed	2020-02-27T05:26:51Z	babobski	Less_and_scss_auto_completions_are_broken
3075853205	3851	labeled	2020-02-26T23:43:47Z	th3coop	Windows:_Komodo_can't_stop_code_intel_sub_process
3070942673	3843	subscribed	2020-02-25T20:46:13Z	babobski	CSS_files_(including_less_or_scss)_are_not_showing_there_auto_completions
3070942670	3843	mentioned	2020-02-25T20:46:13Z	babobski	CSS_files_(including_less_or_scss)_are_not_showing_there_auto_completions
3070609701	3843	subscribed	2020-02-25T19:03:08Z	th3coop	CSS_files_(including_less_or_scss)_are_not_showing_there_auto_completions
3070609700	3843	mentioned	2020-02-25T19:03:07Z	th3coop	CSS_files_(including_less_or_scss)_are_not_showing_there_auto_completions
3066419529	3843	subscribed	2020-02-24T18:10:36Z	Defman21	CSS_files_(including_less_or_scss)_are_not_showing_there_auto_completions
