EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
3832314368	2502	closed	2020-10-02T04:24:30Z	prertik	Weekly_Digest_(2_August,_2020_-_9_August,_2020)
3832314362	2501	closed	2020-10-02T04:24:30Z	prertik	Weekly_Digest_(26_July,_2020_-_2_August,_2020)
3832314357	2500	closed	2020-10-02T04:24:30Z	prertik	Weekly_Digest_(19_July,_2020_-_26_July,_2020)
3832314352	2499	closed	2020-10-02T04:24:30Z	prertik	Weekly_Digest_(12_July,_2020_-_19_July,_2020)
3832314345	2498	closed	2020-10-02T04:24:30Z	prertik	Weekly_Digest_(5_July,_2020_-_12_July,_2020)
3832314333	2495	closed	2020-10-02T04:24:29Z	prertik	Weekly_Digest_(28_June,_2020_-_5_July,_2020)
3832312585	2503	closed	2020-10-02T04:23:16Z	prertik	Update_README.md_#Hackoctoberfest
3832312411	2503	labeled	2020-10-02T04:23:09Z	prertik	Update_README.md_#Hackoctoberfest
3636162035	2502	labeled	2020-08-09T04:10:30Z	weekly-digest[bot]	Weekly_Digest_(2_August,_2020_-_9_August,_2020)
3612948738	2501	labeled	2020-08-02T04:10:31Z	weekly-digest[bot]	Weekly_Digest_(26_July,_2020_-_2_August,_2020)
3586996968	2500	labeled	2020-07-26T11:27:08Z	weekly-digest[bot]	Weekly_Digest_(19_July,_2020_-_26_July,_2020)
3562445890	2499	labeled	2020-07-19T11:27:10Z	weekly-digest[bot]	Weekly_Digest_(12_July,_2020_-_19_July,_2020)
3537027243	2498	labeled	2020-07-12T11:27:07Z	weekly-digest[bot]	Weekly_Digest_(5_July,_2020_-_12_July,_2020)
3518068413	2497	labeled	2020-07-07T00:08:37Z	dependabot-preview[bot]	[Security]_Bump_electron_from_2.0.18_to_7.2.4_in_/deploy/electron
3518068411	2497	labeled	2020-07-07T00:08:37Z	dependabot-preview[bot]	[Security]_Bump_electron_from_2.0.18_to_7.2.4_in_/deploy/electron
3513246537	2495	labeled	2020-07-05T11:27:07Z	weekly-digest[bot]	Weekly_Digest_(28_June,_2020_-_5_July,_2020)
3511449866	2489	closed	2020-07-03T15:36:07Z	prertik	Another_"We_couldn't_connect."
3511449777	2489	labeled	2020-07-03T15:36:04Z	prertik	Another_"We_couldn't_connect."
3511448363	2488	closed	2020-07-03T15:35:34Z	prertik	Harfbuzz_version_too_old_(1.0.0)
3511448044	2488	labeled	2020-07-03T15:35:27Z	prertik	Harfbuzz_version_too_old_(1.0.0)
3511443169	2486	closed	2020-07-03T15:33:33Z	prertik	Installing_Light_Table
3511443044	2486	labeled	2020-07-03T15:33:30Z	prertik	Installing_Light_Table
3511420998	2485	closed	2020-07-03T15:25:06Z	prertik	Weekly_Digest_(23_February,_2020_-_1_March,_2020)
3476361066	2493	closed	2020-06-24T08:21:25Z	Mouvedia	All_characters_appear_as_rectangles_in_the_open_folder/file_dialog
3476360561	2493	labeled	2020-06-24T08:21:16Z	Mouvedia	All_characters_appear_as_rectangles_in_the_open_folder/file_dialog
3476359228	2491	labeled	2020-06-24T08:20:54Z	Mouvedia	Garbled_Text_in_dialog_box_when_trying_to_open_file
3476358272	2491	closed	2020-06-24T08:20:40Z	Mouvedia	Garbled_Text_in_dialog_box_when_trying_to_open_file
3475989002	2493	renamed	2020-06-24T06:30:07Z	francois90	All_characters_appear_as_rectangles_in_the_open_folder/file_dialog
3370887951	2490	labeled	2020-05-25T17:23:26Z	Mouvedia	Typographic_issues
3370887634	2490	closed	2020-05-25T17:23:14Z	Mouvedia	Typographic_issues
3368119081	2486	subscribed	2020-05-24T16:59:17Z	type	Installing_Light_Table
3368119079	2486	mentioned	2020-05-24T16:59:17Z	type	Installing_Light_Table
3368119075	2486	subscribed	2020-05-24T16:59:17Z	context	Installing_Light_Table
3368119073	2486	mentioned	2020-05-24T16:59:16Z	context	Installing_Light_Table
3313213568	2343	locked	2020-05-07T14:38:41Z	LightTable	Linux_-_I_cannot_see_the_names_of_the_files_properly
3313160811	2343	subscribed	2020-05-07T14:27:25Z	prertik	Linux_-_I_cannot_see_the_names_of_the_files_properly
3313160802	2343	mentioned	2020-05-07T14:27:25Z	prertik	Linux_-_I_cannot_see_the_names_of_the_files_properly
3312570477	2343	subscribed	2020-05-07T12:05:03Z	kopaczew	Linux_-_I_cannot_see_the_names_of_the_files_properly
3312570474	2343	mentioned	2020-05-07T12:05:02Z	kopaczew	Linux_-_I_cannot_see_the_names_of_the_files_properly
3169135684	2190	closed	2020-03-26T16:47:17Z	briangorman	Certain_VIM_commands_not_working_correctly_with_Vim_plugin
3085682129	2483	closed	2020-03-01T16:17:24Z	Mouvedia	Weekly_Digest_(16_February,_2020_-_23_February,_2020)
3085257120	2485	labeled	2020-03-01T04:27:02Z	weekly-digest[bot]	Weekly_Digest_(23_February,_2020_-_1_March,_2020)
3079197258	2484	subscribed	2020-02-27T19:32:39Z	prertik	Light_Table's_Future.
3079197255	2484	mentioned	2020-02-27T19:32:39Z	prertik	Light_Table's_Future.
3079197250	2484	subscribed	2020-02-27T19:32:39Z	sbauer322	Light_Table's_Future.
3079197246	2484	mentioned	2020-02-27T19:32:38Z	sbauer322	Light_Table's_Future.
3079020128	2484	subscribed	2020-02-27T18:41:43Z	allentiak	Light_Table's_Future.
3079020124	2484	mentioned	2020-02-27T18:41:43Z	allentiak	Light_Table's_Future.
3077834968	2484	subscribed	2020-02-27T13:12:33Z	allentiak	Light_Table's_Future.
3077834963	2484	mentioned	2020-02-27T13:12:33Z	allentiak	Light_Table's_Future.
3077834023	2484	renamed	2020-02-27T13:12:17Z	prertik	Light_Table's_Future.
3077611696	2484	subscribed	2020-02-27T12:02:22Z	prertik	Light_Table's_Future.
3077611693	2484	mentioned	2020-02-27T12:02:22Z	prertik	Light_Table's_Future.
3076906906	2484	subscribed	2020-02-27T08:42:17Z	allentiak	Light_Table's_Future.
3076906904	2484	mentioned	2020-02-27T08:42:17Z	allentiak	Light_Table's_Future.
3073999338	2484	subscribed	2020-02-26T14:38:41Z	prertik	Light_Table's_Future.
3073999336	2484	mentioned	2020-02-26T14:38:41Z	prertik	Light_Table's_Future.
3068441367	2484	pinned	2020-02-25T08:34:46Z	prertik	Light_Table's_Future.
3063563296	2482	closed	2020-02-23T17:15:10Z	prertik	Weekly_Digest_(9_February,_2020_-_16_February,_2020)
3063563102	2481	closed	2020-02-23T17:14:51Z	prertik	Weekly_Digest_(2_February,_2020_-_9_February,_2020)
3063150216	2483	labeled	2020-02-23T04:27:00Z	weekly-digest[bot]	Weekly_Digest_(16_February,_2020_-_23_February,_2020)
3041310765	2482	labeled	2020-02-16T04:27:01Z	weekly-digest[bot]	Weekly_Digest_(9_February,_2020_-_16_February,_2020)
3020730030	2480	closed	2020-02-09T17:04:07Z	prertik	Weekly_Digest_(26_January,_2020_-_2_February,_2020)
3020335905	2481	labeled	2020-02-09T04:26:59Z	weekly-digest[bot]	Weekly_Digest_(2_February,_2020_-_9_February,_2020)
3000095191	2477	closed	2020-02-02T15:22:18Z	prertik	Weekly_Digest_(19_January,_2020_-_26_January,_2020)
2999695357	2480	labeled	2020-02-02T00:36:10Z	weekly-digest[bot]	Weekly_Digest_(26_January,_2020_-_2_February,_2020)
2979625778	2472	closed	2020-01-26T00:37:56Z	Mouvedia	Weekly_Digest_(13_January,_2020_-_20_January,_2020)
2979625146	2477	labeled	2020-01-26T00:36:10Z	weekly-digest[bot]	Weekly_Digest_(19_January,_2020_-_26_January,_2020)
