EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
4022730226	21688	mentioned	2020-11-20T20:55:56Z	jjcaine	Apple_M1_and_Atom_—_will_it_work?
4022273036	21723	added_to_project	2020-11-20T18:34:10Z	atom-community-project-automation[bot]	Add_.circleci/config.yml
4021583027	21688	subscribed	2020-11-20T16:02:57Z	sergeyfilimonov	Apple_M1_and_Atom_—_will_it_work?
4021583021	21688	mentioned	2020-11-20T16:02:57Z	sergeyfilimonov	Apple_M1_and_Atom_—_will_it_work?
4021508540	21683	closed	2020-11-20T15:46:41Z	aminya	deprecate_minimap_in_favor_of_minimap-plus
4021433143	21722	added_to_project	2020-11-20T15:30:06Z	atom-community-project-automation[bot]	Provide_packagecloud.io_Fedora_distribution_rpm_packages_
4020815271	21721	added_to_project	2020-11-20T13:07:51Z	atom-community-project-automation[bot]	atom_folding_bug
4019246830	21683	subscribed	2020-11-20T05:59:17Z	UziTech	deprecate_minimap_in_favor_of_minimap-plus
4019246828	21683	mentioned	2020-11-20T05:59:17Z	UziTech	deprecate_minimap_in_favor_of_minimap-plus
4017072323	21720	added_to_project	2020-11-19T17:30:31Z	atom-community-project-automation[bot]	Uncaught_Error:_ENOENT:_no_such_file_or_directory,_lstat_'~/AppData\Local\atom\app-1.53.0\1422223...
4016205574	21719	subscribed	2020-11-19T14:42:15Z	mkunzBGC	Core_Setting:_Title_bar_=_hidden_causes_UI_issues
4016205568	21719	mentioned	2020-11-19T14:42:15Z	mkunzBGC	Core_Setting:_Title_bar_=_hidden_causes_UI_issues
4016181710	21719	added_to_project	2020-11-19T14:37:35Z	atom-community-project-automation[bot]	Core_Setting:_Title_bar_=_hidden_causes_UI_issues
4016159372	21671	moved_columns_in_project	2020-11-19T14:33:09Z	sadick254	UI_bug:_settings_pane_doesn't_scroll_when_it_is_docked
4016158777	21671	labeled	2020-11-19T14:33:02Z	sadick254	UI_bug:_settings_pane_doesn't_scroll_when_it_is_docked
4015931579	21688	subscribed	2020-11-19T13:47:56Z	eneroth	Apple_M1_and_Atom_—_will_it_work?
4015931575	21688	mentioned	2020-11-19T13:47:55Z	eneroth	Apple_M1_and_Atom_—_will_it_work?
4015797750	21688	subscribed	2020-11-19T13:18:48Z	eneroth	Apple_M1_and_Atom_—_will_it_work?
4015797747	21688	mentioned	2020-11-19T13:18:47Z	eneroth	Apple_M1_and_Atom_—_will_it_work?
4015311762	21688	subscribed	2020-11-19T11:19:57Z	eneroth	Apple_M1_and_Atom_—_will_it_work?
4015311751	21688	mentioned	2020-11-19T11:19:57Z	eneroth	Apple_M1_and_Atom_—_will_it_work?
4014598310	21619	closed	2020-11-19T08:37:52Z	sadick254	Uncaught_Error:_ENOENT:_no_such_file_or_directory,_open_'$ATOM_HOME/packages\gpp-compiler\README.md'
4014537174	21689	closed	2020-11-19T08:22:19Z	sadick254	Uncaught_TypeError:_Cannot_read_property_'sectionHeadings'_of_undefined
4014053310	21718	added_to_project	2020-11-19T05:39:50Z	atom-community-project-automation[bot]	Uncaught_Error:_ENOENT:_no_such_file_or_directory,_lstat_'~/AppData\Local\atom\app-1.52.0\1.txt'
4013920565	21693	closed	2020-11-19T04:35:45Z	sadick254	Uncaught_Error:_Module_did_not_self-register.
4013919930	21695	closed	2020-11-19T04:35:28Z	sadick254	Uncaught_Error:_Module_did_not_self-register.
4013919140	21714	closed	2020-11-19T04:35:05Z	sadick254	Uncaught_Error:_Module_did_not_self-register.
4012781795	21716	added_to_project	2020-11-18T21:15:27Z	atom-community-project-automation[bot]	Git_Identity_in_the_git_tab_is_requested_each_time_I_open_Atom_or_after_change_project
4012638896	21715	head_ref_force_pushed	2020-11-18T20:36:22Z	UziTech	check_if_testRunner_is_es_module
4012509084	21715	head_ref_force_pushed	2020-11-18T20:02:00Z	UziTech	check_if_testRunner_is_es_module
4012463894	21715	head_ref_force_pushed	2020-11-18T19:50:03Z	UziTech	check_if_testRunner_is_es_module
4012442723	20445	closed	2020-11-18T19:44:38Z	AlastairWoodbury	Atom_is_not_saving_sign-in_info_when_"Remeber"_is_checked._Github_tab_is_forgetting_login_after_reloading_atom.
4012429143	21715	head_ref_force_pushed	2020-11-18T19:41:03Z	UziTech	check_if_testRunner_is_es_module
4011431002	21715	added_to_project	2020-11-18T15:58:22Z	atom-community-project-automation[bot]	check_if_testRunner_is_es_module
4011395988	21714	added_to_project	2020-11-18T15:51:59Z	atom-community-project-automation[bot]	Uncaught_Error:_Module_did_not_self-register.
4010241544	21500	added_to_project	2020-11-18T11:44:28Z	darangi	Markdown_preview_is_broken,_only_on_first_preview
4010241535	21500	removed_from_project	2020-11-18T11:44:28Z	darangi	Markdown_preview_is_broken,_only_on_first_preview
4010102142	21688	subscribed	2020-11-18T11:09:08Z	ash37	Apple_M1_and_Atom_—_will_it_work?
4010102138	21688	mentioned	2020-11-18T11:09:08Z	ash37	Apple_M1_and_Atom_—_will_it_work?
4010092358	21688	subscribed	2020-11-18T11:06:45Z	ash37	Apple_M1_and_Atom_—_will_it_work?
4010092354	21688	mentioned	2020-11-18T11:06:45Z	ash37	Apple_M1_and_Atom_—_will_it_work?
4010071573	21318	moved_columns_in_project	2020-11-18T11:01:59Z	sadick254	Update_the_macOS_Azure_CI_image_to_macos-10.15
4010071536	21318	closed	2020-11-18T11:01:58Z	sadick254	Update_the_macOS_Azure_CI_image_to_macos-10.15
4010071521	21318	merged	2020-11-18T11:01:58Z	sadick254	Update_the_macOS_Azure_CI_image_to_macos-10.15
4010071514	21318	referenced	2020-11-18T11:01:58Z	sadick254	Update_the_macOS_Azure_CI_image_to_macos-10.15
4009765622	21688	subscribed	2020-11-18T09:54:14Z	ash37	Apple_M1_and_Atom_—_will_it_work?
4009765619	21688	mentioned	2020-11-18T09:54:14Z	ash37	Apple_M1_and_Atom_—_will_it_work?
4009721045	21688	subscribed	2020-11-18T09:44:23Z	ash37	Apple_M1_and_Atom_—_will_it_work?
4009721041	21688	mentioned	2020-11-18T09:44:23Z	ash37	Apple_M1_and_Atom_—_will_it_work?
4009392521	21694	pinned	2020-11-18T08:27:45Z	sadick254	Atom_1.53.0_update_failing
4009378576	21696	closed	2020-11-18T08:24:06Z	sadick254	Atom
4009361102	21701	closed	2020-11-18T08:19:39Z	sadick254	How_to_make_shortcut_"open_in_file_manager"
4009278455	21661	closed	2020-11-18T07:58:03Z	sadick254	check_if_testRunner_is_es_module
4009276129	21112	closed	2020-11-18T07:57:22Z	sadick254	support_ES6_default_require_for_packages
4009276125	21112	merged	2020-11-18T07:57:22Z	sadick254	support_ES6_default_require_for_packages
4009276121	21112	referenced	2020-11-18T07:57:22Z	sadick254	support_ES6_default_require_for_packages
4009259941	21665	head_ref_deleted	2020-11-18T07:52:50Z	sadick254	⬆️_postcss@8.1.6
4009259614	21665	closed	2020-11-18T07:52:44Z	sadick254	⬆️_postcss@8.1.6
4009259609	21665	merged	2020-11-18T07:52:44Z	sadick254	⬆️_postcss@8.1.6
4009259603	21665	referenced	2020-11-18T07:52:44Z	sadick254	⬆️_postcss@8.1.6
4009210774	21688	subscribed	2020-11-18T07:38:09Z	ash37	Apple_M1_and_Atom_—_will_it_work?
4009210767	21688	mentioned	2020-11-18T07:38:08Z	ash37	Apple_M1_and_Atom_—_will_it_work?
4009090804	21688	reopened	2020-11-18T07:00:37Z	darangi	Apple_M1_and_Atom_—_will_it_work?
4006202115	21688	subscribed	2020-11-17T15:54:25Z	darangi	Apple_M1_and_Atom_—_will_it_work?
4006202104	21688	mentioned	2020-11-17T15:54:25Z	darangi	Apple_M1_and_Atom_—_will_it_work?
4006195816	21688	subscribed	2020-11-17T15:53:10Z	darangi	Apple_M1_and_Atom_—_will_it_work?
4006195809	21688	mentioned	2020-11-17T15:53:10Z	darangi	Apple_M1_and_Atom_—_will_it_work?
4006190410	21688	subscribed	2020-11-17T15:52:08Z	bogdancss	Apple_M1_and_Atom_—_will_it_work?
4006190400	21688	mentioned	2020-11-17T15:52:08Z	bogdancss	Apple_M1_and_Atom_—_will_it_work?
4005422537	21709	closed	2020-11-17T13:22:34Z	shinyup213	Uncaught_Error:_dlopen(~/Desktop/Atom.app/Contents/Resources/app.asar.unpacked/node_modules/fs-ad...
4005416132	21709	added_to_project	2020-11-17T13:21:02Z	atom-community-project-automation[bot]	Uncaught_Error:_dlopen(~/Desktop/Atom.app/Contents/Resources/app.asar.unpacked/node_modules/fs-ad...
