EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
4048170547	3755	head_ref_deleted	2020-11-28T15:35:23Z	tototest99	fix(ninja_filetype):_add_subninja_and_include_declarations_and_fix_builddir_highlights
4048170540	3798	head_ref_deleted	2020-11-28T15:35:21Z	tototest99	refactor(ninjafile):_simplify_ninja.kak_and_fix_few_things
4048093755	3917	closed	2020-11-28T13:54:20Z	cduret	screen_scrambled_when_scrolling_with_tmux_through_ssh
4047642268	3918	labeled	2020-11-28T03:55:27Z	alexherbo2	Scoped_color_schemes
4045573809	3917	labeled	2020-11-27T10:39:00Z	cduret	screen_scrambled_when_scrolling_with_tmux_through_ssh
4045286527	3916	closed	2020-11-27T09:26:38Z	m-kru	Converting_word_to_all_uppercase_and_all_lowercase
4044988351	3913	subscribed	2020-11-27T08:00:13Z	mawww	could_there_be_an_easier_way_to_add_languages_to_markdown_code_block_highlighting?
4044988345	3913	mentioned	2020-11-27T08:00:13Z	mawww	could_there_be_an_easier_way_to_add_languages_to_markdown_code_block_highlighting?
4043688062	3915	labeled	2020-11-26T19:22:48Z	voroskoi	SIGSEGV_(Address_boundary_error)
4043688061	3915	labeled	2020-11-26T19:22:48Z	voroskoi	SIGSEGV_(Address_boundary_error)
4040471519	3914	unsubscribed	2020-11-26T02:14:38Z	ironzorg	Support_0_count_to_select_all_capture_groups
4040471515	3914	subscribed	2020-11-26T02:14:38Z	lenormf	Support_0_count_to_select_all_capture_groups
4040471512	3914	mentioned	2020-11-26T02:14:38Z	lenormf	Support_0_count_to_select_all_capture_groups
4040442969	3914	subscribed	2020-11-26T01:59:32Z	ironzorg	Support_0_count_to_select_all_capture_groups
4040442967	3914	mentioned	2020-11-26T01:59:32Z	ironzorg	Support_0_count_to_select_all_capture_groups
4040442952	3914	labeled	2020-11-26T01:59:32Z	alexherbo2	Support_0_count_to_select_all_capture_groups
4038595547	3913	labeled	2020-11-25T15:18:07Z	BrianHicks	could_there_be_an_easier_way_to_add_languages_to_markdown_code_block_highlighting?
4031402833	3912	subscribed	2020-11-24T08:20:36Z	krobelus	Distinguish_<c-h>_and_Backspace_on_terminals_where_that_is_possible.
4031402829	3912	mentioned	2020-11-24T08:20:36Z	krobelus	Distinguish_<c-h>_and_Backspace_on_terminals_where_that_is_possible.
4031397784	3863	referenced	2020-11-24T08:19:20Z	Screwtapello	Distinguish_<c-h>_and_Backspace_on_terminals_where_that_is_possible.
4030525238	3911	labeled	2020-11-24T02:48:50Z	alexherbo2	Add_a_-client_switch_to_open_files_in_a_specific_client
4030004994	3910	labeled	2020-11-23T23:01:56Z	alexherbo2	Support_to_alias_a_command_with_arguments
4029714147	3909	labeled	2020-11-23T21:26:20Z	ifreund	Crash_on_closing_buffers
4029714145	3909	labeled	2020-11-23T21:26:20Z	ifreund	Crash_on_closing_buffers
4029656498	3907	subscribed	2020-11-23T21:10:57Z	Screwtapello	Kakoune_does_not_fork_server_to_background_at_server_session_startup
4029656495	3907	mentioned	2020-11-23T21:10:57Z	Screwtapello	Kakoune_does_not_fork_server_to_background_at_server_session_startup
4028372123	3900	ready_for_review	2020-11-23T15:54:43Z	voroskoi	spell.kak:_Add_arbitrary_backend_support
4028365031	3900	head_ref_force_pushed	2020-11-23T15:53:15Z	voroskoi	spell.kak:_Add_arbitrary_backend_support
4028307644	3900	head_ref_force_pushed	2020-11-23T15:41:57Z	voroskoi	spell.kak:_Add_arbitrary_backend_support
4028307598	3849	referenced	2020-11-23T15:41:57Z	voroskoi	Menu_completions_do_not_select_the_first_entry_automatically_anymore
4026567206	3907	subscribed	2020-11-23T09:13:52Z	mawww	Kakoune_does_not_fork_server_to_background_at_server_session_startup
4026567204	3907	mentioned	2020-11-23T09:13:52Z	mawww	Kakoune_does_not_fork_server_to_background_at_server_session_startup
4026375500	3907	labeled	2020-11-23T08:26:43Z	m-kru	Kakoune_does_not_fork_server_to_background_at_server_session_startup
4026024511	3899	subscribed	2020-11-23T06:37:28Z	mawww	Python:_Highlight_docstrings_with_documentation_face,_not_string.
