EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
4049298438	13243	subscribed	2020-11-29T18:41:56Z	weilbith	[WIP]_extranges_(much_vaporware)
4049250027	13409	subscribed	2020-11-29T17:42:36Z	janlazo	vim-patch:8.0.1119:_quitting_a_split_terminal_window_kills_the_job
4049250026	13409	mentioned	2020-11-29T17:42:36Z	janlazo	vim-patch:8.0.1119:_quitting_a_split_terminal_window_kills_the_job
4049247073	13412	labeled	2020-11-29T17:38:54Z	ndavidpsi	Can't_properly_change_neovim's_background_color
4049200084	13404	head_ref_deleted	2020-11-29T16:43:16Z	jarimayenburg	[RDY]_runtime:_Updated_Dockerfile_syntax_with_latest_from_Vim_upstream
4049189551	13404	closed	2020-11-29T16:31:14Z	janlazo	[RDY]_runtime:_Updated_Dockerfile_syntax_with_latest_from_Vim_upstream
4049189547	13404	merged	2020-11-29T16:31:14Z	janlazo	[RDY]_runtime:_Updated_Dockerfile_syntax_with_latest_from_Vim_upstream
4049189546	13404	referenced	2020-11-29T16:31:14Z	janlazo	[RDY]_runtime:_Updated_Dockerfile_syntax_with_latest_from_Vim_upstream
4049173493	13411	subscribed	2020-11-29T16:13:45Z	nhooyr	runtime:_man.vim's_:Man_doesn't_work_with_a_count
4049173490	13411	mentioned	2020-11-29T16:13:44Z	nhooyr	runtime:_man.vim's_:Man_doesn't_work_with_a_count
4049147495	13401	head_ref_force_pushed	2020-11-29T15:43:54Z	shade-of-noon	[RDY]_screen.c:_Allow_QuickFixLine_to_be_overriden.
4049147489	13400	referenced	2020-11-29T15:43:53Z	shade-of-noon	Line_numbers_and_errors_can_be_hard_to_read_with_QuickFixLine_highlighting_priority.
4049140105	13404	renamed	2020-11-29T15:35:45Z	jarimayenburg	[RDY]_runtime:_Updated_Dockerfile_syntax_with_latest_from_Vim_upstream
4049137566	13404	head_ref_force_pushed	2020-11-29T15:32:52Z	jarimayenburg	[RDY]_runtime:_Updated_Dockerfile_syntax_with_latest_from_Vim_upstream
4049133703	13401	head_ref_force_pushed	2020-11-29T15:28:41Z	shade-of-noon	[RDY]_screen.c:_Allow_QuickFixLine_to_be_overriden.
4049133696	13400	referenced	2020-11-29T15:28:40Z	shade-of-noon	Line_numbers_and_errors_can_be_hard_to_read_with_QuickFixLine_highlighting_priority.
4049127377	13400	referenced	2020-11-29T15:21:42Z	shade-of-noon	Line_numbers_and_errors_can_be_hard_to_read_with_QuickFixLine_highlighting_priority.
4049127376	13393	referenced	2020-11-29T15:21:42Z	shade-of-noon	Folded_hl_group_not_applied_on_folded_lines_with_syntax_matches
4049127372	13286	referenced	2020-11-29T15:21:42Z	shade-of-noon	doc:_fix_lsp_statusline_examle
4049127371	13401	head_ref_force_pushed	2020-11-29T15:21:42Z	shade-of-noon	[RDY]_screen.c:_Allow_QuickFixLine_to_be_overriden.
4049127368	13407	referenced	2020-11-29T15:21:42Z	shade-of-noon	vim-patch:8.2.0095:_cannot_specify_exit_code_for_:cquit
4049127354	10836	referenced	2020-11-29T15:21:42Z	shade-of-noon	set_COLORTERM='truecolor'_in_:terminal_when_using_truecolor_GUI/TUI
4049107321	12720	subscribed	2020-11-29T14:58:46Z	jamessan	Fix:_Make_`lsp.util.focusable_preview()`_focusable_again
4049107318	12720	mentioned	2020-11-29T14:58:46Z	jamessan	Fix:_Make_`lsp.util.focusable_preview()`_focusable_again
4049041874	13410	labeled	2020-11-29T13:42:42Z	m-nny	typescript:_Nullish_Coalescing_breaks_syntax_highlight
4049027905	13393	head_ref_deleted	2020-11-29T13:27:04Z	teto	Folded_hl_group_not_applied_on_folded_lines_with_syntax_matches
4049027834	13393	closed	2020-11-29T13:27:00Z	teto	Folded_hl_group_not_applied_on_folded_lines_with_syntax_matches
4049027825	13393	merged	2020-11-29T13:26:59Z	teto	Folded_hl_group_not_applied_on_folded_lines_with_syntax_matches
4049027823	13393	referenced	2020-11-29T13:26:59Z	teto	Folded_hl_group_not_applied_on_folded_lines_with_syntax_matches
4049027715	13393	subscribed	2020-11-29T13:26:51Z	lervag	Folded_hl_group_not_applied_on_folded_lines_with_syntax_matches
4049027713	13393	mentioned	2020-11-29T13:26:51Z	lervag	Folded_hl_group_not_applied_on_folded_lines_with_syntax_matches
4049025980	13286	closed	2020-11-29T13:24:53Z	teto	doc:_fix_lsp_statusline_examle
