EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
499989792	258	referenced	2015-12-24T06:50:05Z	dbkaplun	Saving_a_new_file_with_relative_path_saves_to_process.cwd()_instead_of_slap.fileBrowser.cwd
499987280	258	labeled	2015-12-24T06:42:45Z	dbkaplun	Saving_a_new_file_with_relative_path_saves_to_process.cwd()_instead_of_slap.fileBrowser.cwd
499978927	251	renamed	2015-12-24T06:23:56Z	dbkaplun	Show_currently_open_files_in_a_new_pane
499900637	242	subscribed	2015-12-24T02:26:00Z	NiXXeD	Regex_Find_does_not_work_entirely
499900636	242	mentioned	2015-12-24T02:26:00Z	NiXXeD	Regex_Find_does_not_work_entirely
499899033	256	head_ref_deleted	2015-12-24T02:23:05Z	dbkaplun	0.1.58
499899012	256	closed	2015-12-24T02:23:00Z	dbkaplun	0.1.58
499899011	256	merged	2015-12-24T02:23:00Z	dbkaplun	0.1.58
499899010	256	referenced	2015-12-24T02:23:00Z	dbkaplun	0.1.58
499897643	255	head_ref_deleted	2015-12-24T02:18:04Z	dbkaplun	chore(deps):_slap-util@1.0.6
499897507	255	head_ref_force_pushed	2015-12-24T02:17:33Z	dbkaplun	chore(deps):_slap-util@1.0.6
499897506	255	closed	2015-12-24T02:17:33Z	dbkaplun	chore(deps):_slap-util@1.0.6
499895485	254	head_ref_deleted	2015-12-24T02:14:46Z	dbkaplun	Update_slap-util_to_version_1.0.6_🚀
499895478	254	closed	2015-12-24T02:14:45Z	dbkaplun	Update_slap-util_to_version_1.0.6_🚀
499895477	254	merged	2015-12-24T02:14:45Z	dbkaplun	Update_slap-util_to_version_1.0.6_🚀
499895476	254	referenced	2015-12-24T02:14:45Z	dbkaplun	Update_slap-util_to_version_1.0.6_🚀
499894115	243	referenced	2015-12-24T02:10:20Z	dbkaplun	Re-opening_a_modified_file_overwrites_changes_without_confirmation
499894114	243	closed	2015-12-24T02:10:20Z	dbkaplun	Re-opening_a_modified_file_overwrites_changes_without_confirmation
499894113	253	head_ref_deleted	2015-12-24T02:10:20Z	dbkaplun	fix(open):_closes_#243
499894106	253	closed	2015-12-24T02:10:18Z	dbkaplun	fix(open):_closes_#243
499894105	253	merged	2015-12-24T02:10:18Z	dbkaplun	fix(open):_closes_#243
499894104	253	referenced	2015-12-24T02:10:18Z	dbkaplun	fix(open):_closes_#243
