EVENT_ID	ISSUE_ID	TYPE	CREATION_DATE	ACTOR	TITLE
4019930622	31834	mentioned	2020-11-20T09:19:05Z	Johann-S	tooltip/popover:_add_a_`customClass`_option
4019922753	31178	head_ref_force_pushed	2020-11-20T09:17:01Z	XhmikosR	Update_to_popper.js_v2.x
4019906081	32173	moved_columns_in_project	2020-11-20T09:13:14Z	XhmikosR	Make_the_attribute_methods_bs_specific
4019906058	32173	closed	2020-11-20T09:13:14Z	XhmikosR	Make_the_attribute_methods_bs_specific
4019906039	32173	merged	2020-11-20T09:13:14Z	XhmikosR	Make_the_attribute_methods_bs_specific
4019906034	32173	referenced	2020-11-20T09:13:14Z	XhmikosR	Make_the_attribute_methods_bs_specific
4019880822	28342	moved_columns_in_project	2020-11-20T09:07:45Z	XhmikosR	Remaining_to_do_after_the_jQuery_removal
4019880744	28342	closed	2020-11-20T09:07:44Z	XhmikosR	Remaining_to_do_after_the_jQuery_removal
4019829189	32173	moved_columns_in_project	2020-11-20T08:54:53Z	Johann-S	Make_the_attribute_methods_bs_specific
4019822676	32173	review_requested	2020-11-20T08:53:06Z	rohit2sharma95	Make_the_attribute_methods_bs_specific
4019787519	28342	subscribed	2020-11-20T08:43:45Z	XhmikosR	Remaining_to_do_after_the_jQuery_removal
4019787518	28342	mentioned	2020-11-20T08:43:45Z	XhmikosR	Remaining_to_do_after_the_jQuery_removal
4019691705	32184	subscribed	2020-11-20T08:16:57Z	arcanedev-maroc	Ability_to_add_listeners_directly_to_objects_like_Modals/Collapse/etc
4019691703	32184	mentioned	2020-11-20T08:16:57Z	arcanedev-maroc	Ability_to_add_listeners_directly_to_objects_like_Modals/Collapse/etc
4019691699	32184	subscribed	2020-11-20T08:16:56Z	XhmikosR	Ability_to_add_listeners_directly_to_objects_like_Modals/Collapse/etc
4019691695	32184	mentioned	2020-11-20T08:16:56Z	XhmikosR	Ability_to_add_listeners_directly_to_objects_like_Modals/Collapse/etc
4019610504	32212	moved_columns_in_project	2020-11-20T07:54:38Z	XhmikosR	scss:_remove_needless_Stylelint_disables
4019610329	32212	head_ref_deleted	2020-11-20T07:54:35Z	XhmikosR	scss:_remove_needless_Stylelint_disables
4019610271	32212	closed	2020-11-20T07:54:34Z	XhmikosR	scss:_remove_needless_Stylelint_disables
4019610265	32212	merged	2020-11-20T07:54:34Z	XhmikosR	scss:_remove_needless_Stylelint_disables
4019610262	32212	referenced	2020-11-20T07:54:34Z	XhmikosR	scss:_remove_needless_Stylelint_disables
4019609835	32213	head_ref_deleted	2020-11-20T07:54:25Z	XhmikosR	_reboot.scss:_remove_needless_Stylelint_disable
4019609810	32213	moved_columns_in_project	2020-11-20T07:54:25Z	XhmikosR	_reboot.scss:_remove_needless_Stylelint_disable
4019609787	32213	closed	2020-11-20T07:54:24Z	XhmikosR	_reboot.scss:_remove_needless_Stylelint_disable
4019609784	32213	merged	2020-11-20T07:54:24Z	XhmikosR	_reboot.scss:_remove_needless_Stylelint_disable
4019609780	32213	referenced	2020-11-20T07:54:24Z	XhmikosR	_reboot.scss:_remove_needless_Stylelint_disable
4019412896	32213	moved_columns_in_project	2020-11-20T06:57:06Z	ffoodd	_reboot.scss:_remove_needless_Stylelint_disable
4019213319	31834	head_ref_force_pushed	2020-11-20T05:45:27Z	XhmikosR	tooltip/popover:_add_a_`customClass`_option
4019181339	32214	labeled	2020-11-20T05:31:14Z	XhmikosR	Remove_`version_short`.
4019181337	32214	labeled	2020-11-20T05:31:14Z	XhmikosR	Remove_`version_short`.
4019180357	32214	labeled	2020-11-20T05:30:47Z	XhmikosR	Remove_`version_short`.
4019180356	32214	labeled	2020-11-20T05:30:47Z	XhmikosR	Remove_`version_short`.
4019136469	32213	added_to_project	2020-11-20T05:10:26Z	XhmikosR	_reboot.scss:_remove_needless_Stylelint_disable
4019136460	32213	review_requested	2020-11-20T05:10:25Z	XhmikosR	_reboot.scss:_remove_needless_Stylelint_disable
4019136458	32213	labeled	2020-11-20T05:10:25Z	XhmikosR	_reboot.scss:_remove_needless_Stylelint_disable
4019136456	32213	labeled	2020-11-20T05:10:25Z	XhmikosR	_reboot.scss:_remove_needless_Stylelint_disable
4019111960	32212	added_to_project	2020-11-20T04:58:31Z	XhmikosR	scss:_remove_needless_Stylelint_disables
4019111949	32212	review_requested	2020-11-20T04:58:30Z	XhmikosR	scss:_remove_needless_Stylelint_disables
